location,reef,depth,transect,photo,group,successes,failures
north,ana,md,one,t1_1,abiotic,0,100
north,ana,md,one,t1_1,biotic,0,100
north,ana,md,one,t1_1,macro,8,92
north,ana,md,one,t1_1,non-reef,27,73
north,ana,md,one,t1_1,plob,42,58
north,ana,md,one,t1_1,poci,5,95
north,ana,md,one,t1_1,turf,18,82
north,ana,md,one,t1_10,abiotic,0,100
north,ana,md,one,t1_10,biotic,0,100
north,ana,md,one,t1_10,macro,8,92
north,ana,md,one,t1_10,non-reef,19,81
north,ana,md,one,t1_10,plob,72,28
north,ana,md,one,t1_10,poci,0,100
north,ana,md,one,t1_10,turf,1,99
north,ana,md,one,t1_11,abiotic,0,100
north,ana,md,one,t1_11,biotic,0,100
north,ana,md,one,t1_11,macro,1,99
north,ana,md,one,t1_11,non-reef,28,72
north,ana,md,one,t1_11,plob,70,30
north,ana,md,one,t1_11,poci,0,100
north,ana,md,one,t1_11,turf,1,99
north,ana,md,one,t1_12,abiotic,0,100
north,ana,md,one,t1_12,biotic,0,100
north,ana,md,one,t1_12,macro,6,94
north,ana,md,one,t1_12,non-reef,9,91
north,ana,md,one,t1_12,plob,85,15
north,ana,md,one,t1_12,poci,0,100
north,ana,md,one,t1_12,turf,0,100
north,ana,md,one,t1_13,abiotic,0,100
north,ana,md,one,t1_13,biotic,0,100
north,ana,md,one,t1_13,macro,11,89
north,ana,md,one,t1_13,non-reef,13,87
north,ana,md,one,t1_13,plob,76,24
north,ana,md,one,t1_13,poci,0,100
north,ana,md,one,t1_13,turf,0,100
north,ana,md,one,t1_14,abiotic,0,100
north,ana,md,one,t1_14,biotic,0,100
north,ana,md,one,t1_14,macro,18,82
north,ana,md,one,t1_14,non-reef,12,88
north,ana,md,one,t1_14,plob,59,41
north,ana,md,one,t1_14,poci,0,100
north,ana,md,one,t1_14,turf,11,89
north,ana,md,one,t1_15,abiotic,0,100
north,ana,md,one,t1_15,biotic,0,100
north,ana,md,one,t1_15,macro,9,91
north,ana,md,one,t1_15,non-reef,16,84
north,ana,md,one,t1_15,plob,75,25
north,ana,md,one,t1_15,poci,0,100
north,ana,md,one,t1_15,turf,0,100
north,ana,md,one,t1_2,abiotic,0,100
north,ana,md,one,t1_2,biotic,0,100
north,ana,md,one,t1_2,macro,7,93
north,ana,md,one,t1_2,non-reef,59,41
north,ana,md,one,t1_2,plob,25,75
north,ana,md,one,t1_2,poci,7,93
north,ana,md,one,t1_2,turf,2,98
north,ana,md,one,t1_3,abiotic,0,100
north,ana,md,one,t1_3,biotic,0,100
north,ana,md,one,t1_3,macro,12,88
north,ana,md,one,t1_3,non-reef,23,77
north,ana,md,one,t1_3,plob,48,52
north,ana,md,one,t1_3,poci,0,100
north,ana,md,one,t1_3,turf,17,83
north,ana,md,one,t1_4,abiotic,0,100
north,ana,md,one,t1_4,biotic,0,100
north,ana,md,one,t1_4,macro,12,88
north,ana,md,one,t1_4,non-reef,20,80
north,ana,md,one,t1_4,plob,65,35
north,ana,md,one,t1_4,poci,0,100
north,ana,md,one,t1_4,turf,3,97
north,ana,md,one,t1_5,abiotic,0,100
north,ana,md,one,t1_5,biotic,0,100
north,ana,md,one,t1_5,macro,8,92
north,ana,md,one,t1_5,non-reef,23,77
north,ana,md,one,t1_5,plob,68,32
north,ana,md,one,t1_5,poci,0,100
north,ana,md,one,t1_5,turf,1,99
north,ana,md,one,t1_6,abiotic,0,100
north,ana,md,one,t1_6,biotic,0,100
north,ana,md,one,t1_6,macro,10,90
north,ana,md,one,t1_6,non-reef,26,74
north,ana,md,one,t1_6,plob,64,36
north,ana,md,one,t1_6,poci,0,100
north,ana,md,one,t1_6,turf,0,100
north,ana,md,one,t1_7,abiotic,0,100
north,ana,md,one,t1_7,biotic,0,100
north,ana,md,one,t1_7,macro,3,97
north,ana,md,one,t1_7,non-reef,15,85
north,ana,md,one,t1_7,plob,80,20
north,ana,md,one,t1_7,poci,0,100
north,ana,md,one,t1_7,turf,2,98
north,ana,md,one,t1_8,abiotic,0,100
north,ana,md,one,t1_8,biotic,0,100
north,ana,md,one,t1_8,macro,4,96
north,ana,md,one,t1_8,non-reef,9,91
north,ana,md,one,t1_8,plob,86,14
north,ana,md,one,t1_8,poci,0,100
north,ana,md,one,t1_8,turf,1,99
north,ana,md,one,t1_9,abiotic,0,100
north,ana,md,one,t1_9,biotic,0,100
north,ana,md,one,t1_9,macro,2,98
north,ana,md,one,t1_9,non-reef,21,79
north,ana,md,one,t1_9,plob,77,23
north,ana,md,one,t1_9,poci,0,100
north,ana,md,one,t1_9,turf,0,100
north,ana,md,two,t2_1,abiotic,8,92
north,ana,md,two,t2_1,biotic,0,100
north,ana,md,two,t2_1,macro,7,93
north,ana,md,two,t2_1,non-reef,11,89
north,ana,md,two,t2_1,plob,71,29
north,ana,md,two,t2_1,poci,0,100
north,ana,md,two,t2_1,turf,3,97
north,ana,md,two,t2_10,abiotic,0,100
north,ana,md,two,t2_10,biotic,0,100
north,ana,md,two,t2_10,macro,19,81
north,ana,md,two,t2_10,non-reef,11,89
north,ana,md,two,t2_10,plob,70,30
north,ana,md,two,t2_10,poci,0,100
north,ana,md,two,t2_10,turf,0,100
north,ana,md,two,t2_11,abiotic,5,95
north,ana,md,two,t2_11,biotic,0,100
north,ana,md,two,t2_11,macro,11,89
north,ana,md,two,t2_11,non-reef,2,98
north,ana,md,two,t2_11,plob,78,22
north,ana,md,two,t2_11,poci,3,97
north,ana,md,two,t2_11,turf,1,99
north,ana,md,two,t2_12,abiotic,1,99
north,ana,md,two,t2_12,biotic,0,100
north,ana,md,two,t2_12,macro,16,84
north,ana,md,two,t2_12,non-reef,9,91
north,ana,md,two,t2_12,plob,73,27
north,ana,md,two,t2_12,poci,0,100
north,ana,md,two,t2_12,turf,1,99
north,ana,md,two,t2_13,abiotic,0,100
north,ana,md,two,t2_13,biotic,0,100
north,ana,md,two,t2_13,macro,17,83
north,ana,md,two,t2_13,non-reef,10,90
north,ana,md,two,t2_13,plob,69,31
north,ana,md,two,t2_13,poci,1,99
north,ana,md,two,t2_13,turf,3,97
north,ana,md,two,t2_14,abiotic,0,100
north,ana,md,two,t2_14,biotic,0,100
north,ana,md,two,t2_14,macro,0,100
north,ana,md,two,t2_14,non-reef,2,98
north,ana,md,two,t2_14,plob,97,3
north,ana,md,two,t2_14,poci,0,100
north,ana,md,two,t2_14,turf,1,99
north,ana,md,two,t2_15,abiotic,0,100
north,ana,md,two,t2_15,biotic,0,100
north,ana,md,two,t2_15,macro,1,99
north,ana,md,two,t2_15,non-reef,9,91
north,ana,md,two,t2_15,plob,90,10
north,ana,md,two,t2_15,poci,0,100
north,ana,md,two,t2_15,turf,0,100
north,ana,md,two,t2_2,abiotic,11,89
north,ana,md,two,t2_2,biotic,0,100
north,ana,md,two,t2_2,macro,1,99
north,ana,md,two,t2_2,non-reef,4,96
north,ana,md,two,t2_2,plob,79,21
north,ana,md,two,t2_2,poci,0,100
north,ana,md,two,t2_2,turf,5,95
north,ana,md,two,t2_3,abiotic,0,100
north,ana,md,two,t2_3,biotic,0,100
north,ana,md,two,t2_3,macro,9,91
north,ana,md,two,t2_3,non-reef,7,93
north,ana,md,two,t2_3,plob,82,18
north,ana,md,two,t2_3,poci,0,100
north,ana,md,two,t2_3,turf,2,98
north,ana,md,two,t2_4,abiotic,0,100
north,ana,md,two,t2_4,biotic,0,100
north,ana,md,two,t2_4,macro,19,81
north,ana,md,two,t2_4,non-reef,7,93
north,ana,md,two,t2_4,plob,64,36
north,ana,md,two,t2_4,poci,0,100
north,ana,md,two,t2_4,turf,10,90
north,ana,md,two,t2_5,abiotic,0,100
north,ana,md,two,t2_5,biotic,0,100
north,ana,md,two,t2_5,macro,8,92
north,ana,md,two,t2_5,non-reef,10,90
north,ana,md,two,t2_5,plob,71,29
north,ana,md,two,t2_5,poci,3,97
north,ana,md,two,t2_5,turf,8,92
north,ana,md,two,t2_6,abiotic,0,100
north,ana,md,two,t2_6,biotic,0,100
north,ana,md,two,t2_6,macro,4,96
north,ana,md,two,t2_6,non-reef,13,87
north,ana,md,two,t2_6,plob,53,47
north,ana,md,two,t2_6,poci,0,100
north,ana,md,two,t2_6,turf,30,70
north,ana,md,two,t2_7,abiotic,0,100
north,ana,md,two,t2_7,biotic,0,100
north,ana,md,two,t2_7,macro,12,88
north,ana,md,two,t2_7,non-reef,12,88
north,ana,md,two,t2_7,plob,72,28
north,ana,md,two,t2_7,poci,0,100
north,ana,md,two,t2_7,turf,4,96
north,ana,md,two,t2_8,abiotic,0,100
north,ana,md,two,t2_8,biotic,0,100
north,ana,md,two,t2_8,macro,19,81
north,ana,md,two,t2_8,non-reef,10,90
north,ana,md,two,t2_8,plob,43,57
north,ana,md,two,t2_8,poci,0,100
north,ana,md,two,t2_8,turf,28,72
north,ana,md,two,t2_9,abiotic,0,100
north,ana,md,two,t2_9,biotic,0,100
north,ana,md,two,t2_9,macro,10,90
north,ana,md,two,t2_9,non-reef,15,85
north,ana,md,two,t2_9,plob,72,28
north,ana,md,two,t2_9,poci,1,99
north,ana,md,two,t2_9,turf,2,98
north,ana,md,three,t3_1,abiotic,0,100
north,ana,md,three,t3_1,biotic,0,100
north,ana,md,three,t3_1,macro,1,99
north,ana,md,three,t3_1,non-reef,12,88
north,ana,md,three,t3_1,plob,87,13
north,ana,md,three,t3_1,poci,0,100
north,ana,md,three,t3_1,turf,0,100
north,ana,md,three,t3_10,abiotic,0,100
north,ana,md,three,t3_10,biotic,0,100
north,ana,md,three,t3_10,macro,11,89
north,ana,md,three,t3_10,non-reef,4,96
north,ana,md,three,t3_10,plob,84,16
north,ana,md,three,t3_10,poci,0,100
north,ana,md,three,t3_10,turf,1,99
north,ana,md,three,t3_11,abiotic,0,100
north,ana,md,three,t3_11,biotic,0,100
north,ana,md,three,t3_11,macro,14,86
north,ana,md,three,t3_11,non-reef,6,94
north,ana,md,three,t3_11,plob,79,21
north,ana,md,three,t3_11,poci,0,100
north,ana,md,three,t3_11,turf,1,99
north,ana,md,three,t3_12,abiotic,0,100
north,ana,md,three,t3_12,biotic,0,100
north,ana,md,three,t3_12,macro,20,80
north,ana,md,three,t3_12,non-reef,7,93
north,ana,md,three,t3_12,plob,63,37
north,ana,md,three,t3_12,poci,0,100
north,ana,md,three,t3_12,turf,10,90
north,ana,md,three,t3_13,abiotic,0,100
north,ana,md,three,t3_13,biotic,0,100
north,ana,md,three,t3_13,macro,16,84
north,ana,md,three,t3_13,non-reef,7,93
north,ana,md,three,t3_13,plob,74,26
north,ana,md,three,t3_13,poci,0,100
north,ana,md,three,t3_13,turf,3,97
north,ana,md,three,t3_14,abiotic,0,100
north,ana,md,three,t3_14,biotic,0,100
north,ana,md,three,t3_14,macro,5,95
north,ana,md,three,t3_14,non-reef,7,93
north,ana,md,three,t3_14,plob,88,12
north,ana,md,three,t3_14,poci,0,100
north,ana,md,three,t3_14,turf,0,100
north,ana,md,three,t3_15,abiotic,0,100
north,ana,md,three,t3_15,biotic,0,100
north,ana,md,three,t3_15,macro,12,88
north,ana,md,three,t3_15,non-reef,7,93
north,ana,md,three,t3_15,plob,80,20
north,ana,md,three,t3_15,poci,0,100
north,ana,md,three,t3_15,turf,1,99
north,ana,md,three,t3_2,abiotic,0,100
north,ana,md,three,t3_2,biotic,0,100
north,ana,md,three,t3_2,macro,5,95
north,ana,md,three,t3_2,non-reef,0,100
north,ana,md,three,t3_2,plob,94,6
north,ana,md,three,t3_2,poci,0,100
north,ana,md,three,t3_2,turf,1,99
north,ana,md,three,t3_3,abiotic,0,100
north,ana,md,three,t3_3,biotic,0,100
north,ana,md,three,t3_3,macro,3,97
north,ana,md,three,t3_3,non-reef,3,97
north,ana,md,three,t3_3,plob,94,6
north,ana,md,three,t3_3,poci,0,100
north,ana,md,three,t3_3,turf,0,100
north,ana,md,three,t3_4,abiotic,0,100
north,ana,md,three,t3_4,biotic,0,100
north,ana,md,three,t3_4,macro,20,80
north,ana,md,three,t3_4,non-reef,4,96
north,ana,md,three,t3_4,plob,76,24
north,ana,md,three,t3_4,poci,0,100
north,ana,md,three,t3_4,turf,0,100
north,ana,md,three,t3_5,abiotic,0,100
north,ana,md,three,t3_5,biotic,0,100
north,ana,md,three,t3_5,macro,29,71
north,ana,md,three,t3_5,non-reef,1,99
north,ana,md,three,t3_5,plob,58,42
north,ana,md,three,t3_5,poci,0,100
north,ana,md,three,t3_5,turf,12,88
north,ana,md,three,t3_6,abiotic,0,100
north,ana,md,three,t3_6,biotic,0,100
north,ana,md,three,t3_6,macro,25,75
north,ana,md,three,t3_6,non-reef,2,98
north,ana,md,three,t3_6,plob,73,27
north,ana,md,three,t3_6,poci,0,100
north,ana,md,three,t3_6,turf,0,100
north,ana,md,three,t3_7,abiotic,0,100
north,ana,md,three,t3_7,biotic,0,100
north,ana,md,three,t3_7,macro,16,84
north,ana,md,three,t3_7,non-reef,4,96
north,ana,md,three,t3_7,plob,80,20
north,ana,md,three,t3_7,poci,0,100
north,ana,md,three,t3_7,turf,0,100
north,ana,md,three,t3_8,abiotic,0,100
north,ana,md,three,t3_8,biotic,0,100
north,ana,md,three,t3_8,macro,11,89
north,ana,md,three,t3_8,non-reef,5,95
north,ana,md,three,t3_8,plob,81,19
north,ana,md,three,t3_8,poci,0,100
north,ana,md,three,t3_8,turf,3,97
north,ana,md,three,t3_9,abiotic,0,100
north,ana,md,three,t3_9,biotic,0,100
north,ana,md,three,t3_9,macro,15,85
north,ana,md,three,t3_9,non-reef,3,97
north,ana,md,three,t3_9,plob,77,23
north,ana,md,three,t3_9,poci,0,100
north,ana,md,three,t3_9,turf,5,95
north,ana,md,four,t4_1,abiotic,0,100
north,ana,md,four,t4_1,biotic,0,100
north,ana,md,four,t4_1,macro,18,82
north,ana,md,four,t4_1,non-reef,17,83
north,ana,md,four,t4_1,plob,62,38
north,ana,md,four,t4_1,poci,0,100
north,ana,md,four,t4_1,turf,3,97
north,ana,md,four,t4_10,abiotic,0,100
north,ana,md,four,t4_10,biotic,0,100
north,ana,md,four,t4_10,macro,14,86
north,ana,md,four,t4_10,non-reef,10,90
north,ana,md,four,t4_10,plob,75,25
north,ana,md,four,t4_10,poci,0,100
north,ana,md,four,t4_10,turf,1,99
north,ana,md,four,t4_11,abiotic,0,100
north,ana,md,four,t4_11,biotic,0,100
north,ana,md,four,t4_11,macro,16,84
north,ana,md,four,t4_11,non-reef,2,98
north,ana,md,four,t4_11,plob,82,18
north,ana,md,four,t4_11,poci,0,100
north,ana,md,four,t4_11,turf,0,100
north,ana,md,four,t4_12,abiotic,0,100
north,ana,md,four,t4_12,biotic,0,100
north,ana,md,four,t4_12,macro,5,95
north,ana,md,four,t4_12,non-reef,3,97
north,ana,md,four,t4_12,plob,57,43
north,ana,md,four,t4_12,poci,2,98
north,ana,md,four,t4_12,turf,33,67
north,ana,md,four,t4_13,abiotic,0,100
north,ana,md,four,t4_13,biotic,0,100
north,ana,md,four,t4_13,macro,13,87
north,ana,md,four,t4_13,non-reef,5,95
north,ana,md,four,t4_13,plob,70,30
north,ana,md,four,t4_13,poci,1,99
north,ana,md,four,t4_13,turf,11,89
north,ana,md,four,t4_14,abiotic,0,100
north,ana,md,four,t4_14,biotic,0,100
north,ana,md,four,t4_14,macro,19,81
north,ana,md,four,t4_14,non-reef,6,94
north,ana,md,four,t4_14,plob,66,34
north,ana,md,four,t4_14,poci,1,99
north,ana,md,four,t4_14,turf,8,92
north,ana,md,four,t4_15,abiotic,0,100
north,ana,md,four,t4_15,biotic,0,100
north,ana,md,four,t4_15,macro,9,91
north,ana,md,four,t4_15,non-reef,4,96
north,ana,md,four,t4_15,plob,87,13
north,ana,md,four,t4_15,poci,0,100
north,ana,md,four,t4_15,turf,0,100
north,ana,md,four,t4_2,abiotic,0,100
north,ana,md,four,t4_2,biotic,0,100
north,ana,md,four,t4_2,macro,8,92
north,ana,md,four,t4_2,non-reef,6,94
north,ana,md,four,t4_2,plob,77,23
north,ana,md,four,t4_2,poci,3,97
north,ana,md,four,t4_2,turf,6,94
north,ana,md,four,t4_3,abiotic,0,100
north,ana,md,four,t4_3,biotic,0,100
north,ana,md,four,t4_3,macro,11,89
north,ana,md,four,t4_3,non-reef,17,83
north,ana,md,four,t4_3,plob,68,32
north,ana,md,four,t4_3,poci,2,98
north,ana,md,four,t4_3,turf,2,98
north,ana,md,four,t4_4,abiotic,0,100
north,ana,md,four,t4_4,biotic,0,100
north,ana,md,four,t4_4,macro,11,89
north,ana,md,four,t4_4,non-reef,10,90
north,ana,md,four,t4_4,plob,78,22
north,ana,md,four,t4_4,poci,0,100
north,ana,md,four,t4_4,turf,1,99
north,ana,md,four,t4_5,abiotic,0,100
north,ana,md,four,t4_5,biotic,0,100
north,ana,md,four,t4_5,macro,7,93
north,ana,md,four,t4_5,non-reef,5,95
north,ana,md,four,t4_5,plob,87,13
north,ana,md,four,t4_5,poci,1,99
north,ana,md,four,t4_5,turf,0,100
north,ana,md,four,t4_6,abiotic,0,100
north,ana,md,four,t4_6,biotic,0,100
north,ana,md,four,t4_6,macro,14,86
north,ana,md,four,t4_6,non-reef,5,95
north,ana,md,four,t4_6,plob,79,21
north,ana,md,four,t4_6,poci,0,100
north,ana,md,four,t4_6,turf,2,98
north,ana,md,four,t4_7,abiotic,0,100
north,ana,md,four,t4_7,biotic,0,100
north,ana,md,four,t4_7,macro,13,87
north,ana,md,four,t4_7,non-reef,3,97
north,ana,md,four,t4_7,plob,80,20
north,ana,md,four,t4_7,poci,0,100
north,ana,md,four,t4_7,turf,4,96
north,ana,md,four,t4_8,abiotic,0,100
north,ana,md,four,t4_8,biotic,0,100
north,ana,md,four,t4_8,macro,14,86
north,ana,md,four,t4_8,non-reef,10,90
north,ana,md,four,t4_8,plob,76,24
north,ana,md,four,t4_8,poci,0,100
north,ana,md,four,t4_8,turf,0,100
north,ana,md,four,t4_9,abiotic,0,100
north,ana,md,four,t4_9,biotic,0,100
north,ana,md,four,t4_9,macro,17,83
north,ana,md,four,t4_9,non-reef,2,98
north,ana,md,four,t4_9,plob,81,19
north,ana,md,four,t4_9,poci,0,100
north,ana,md,four,t4_9,turf,0,100
