location,reef,depth,transect,photo,group,,successes,failures
north,ana,sh,one,t1_1,abiotic,abiotic,0,100
north,ana,sh,one,t1_1,biotic,biotic,0,100
north,ana,sh,one,t1_1,macro,macro,2,98
north,ana,sh,one,t1_1,non-reef,non-reef,12,88
north,ana,sh,one,t1_1,plob,plob,85,15
north,ana,sh,one,t1_1,poci,poci,0,100
north,ana,sh,one,t1_1,turf,turf,1,99
north,ana,sh,one,t1_10,abiotic,abiotic,0,100
north,ana,sh,one,t1_10,biotic,biotic,0,100
north,ana,sh,one,t1_10,macro,macro,13,87
north,ana,sh,one,t1_10,non-reef,non-reef,2,98
north,ana,sh,one,t1_10,plob,plob,81,19
north,ana,sh,one,t1_10,poci,poci,0,100
north,ana,sh,one,t1_10,turf,turf,4,96
north,ana,sh,one,t1_11,abiotic,abiotic,0,100
north,ana,sh,one,t1_11,biotic,biotic,0,100
north,ana,sh,one,t1_11,macro,macro,8,92
north,ana,sh,one,t1_11,non-reef,non-reef,4,96
north,ana,sh,one,t1_11,plob,plob,81,19
north,ana,sh,one,t1_11,poci,poci,0,100
north,ana,sh,one,t1_11,turf,turf,7,93
north,ana,sh,one,t1_12,abiotic,abiotic,0,100
north,ana,sh,one,t1_12,biotic,biotic,0,100
north,ana,sh,one,t1_12,macro,macro,12,88
north,ana,sh,one,t1_12,non-reef,non-reef,5,95
north,ana,sh,one,t1_12,plob,plob,56,44
north,ana,sh,one,t1_12,poci,poci,0,100
north,ana,sh,one,t1_12,turf,turf,27,73
north,ana,sh,one,t1_13,abiotic,abiotic,0,100
north,ana,sh,one,t1_13,biotic,biotic,0,100
north,ana,sh,one,t1_13,macro,macro,15,85
north,ana,sh,one,t1_13,non-reef,non-reef,7,93
north,ana,sh,one,t1_13,plob,plob,68,32
north,ana,sh,one,t1_13,poci,poci,0,100
north,ana,sh,one,t1_13,turf,turf,10,90
north,ana,sh,one,t1_14,abiotic,abiotic,0,100
north,ana,sh,one,t1_14,biotic,biotic,0,100
north,ana,sh,one,t1_14,macro,macro,2,98
north,ana,sh,one,t1_14,non-reef,non-reef,4,96
north,ana,sh,one,t1_14,plob,plob,93,7
north,ana,sh,one,t1_14,poci,poci,0,100
north,ana,sh,one,t1_14,turf,turf,1,99
north,ana,sh,one,t1_15,abiotic,abiotic,33,67
north,ana,sh,one,t1_15,biotic,biotic,0,100
north,ana,sh,one,t1_15,macro,macro,1,99
north,ana,sh,one,t1_15,non-reef,non-reef,4,96
north,ana,sh,one,t1_15,plob,plob,57,43
north,ana,sh,one,t1_15,poci,poci,0,100
north,ana,sh,one,t1_15,turf,turf,5,95
north,ana,sh,one,t1_2,abiotic,abiotic,0,100
north,ana,sh,one,t1_2,biotic,biotic,0,100
north,ana,sh,one,t1_2,macro,macro,8,92
north,ana,sh,one,t1_2,non-reef,non-reef,9,91
north,ana,sh,one,t1_2,plob,plob,81,19
north,ana,sh,one,t1_2,poci,poci,0,100
north,ana,sh,one,t1_2,turf,turf,2,98
north,ana,sh,one,t1_3,abiotic,abiotic,0,100
north,ana,sh,one,t1_3,biotic,biotic,0,100
north,ana,sh,one,t1_3,macro,macro,9,91
north,ana,sh,one,t1_3,non-reef,non-reef,4,96
north,ana,sh,one,t1_3,plob,plob,82,18
north,ana,sh,one,t1_3,poci,poci,0,100
north,ana,sh,one,t1_3,turf,turf,5,95
north,ana,sh,one,t1_4,abiotic,abiotic,2,98
north,ana,sh,one,t1_4,biotic,biotic,0,100
north,ana,sh,one,t1_4,macro,macro,4,96
north,ana,sh,one,t1_4,non-reef,non-reef,3,97
north,ana,sh,one,t1_4,plob,plob,84,16
north,ana,sh,one,t1_4,poci,poci,0,100
north,ana,sh,one,t1_4,turf,turf,7,93
north,ana,sh,one,t1_5,abiotic,abiotic,0,100
north,ana,sh,one,t1_5,biotic,biotic,8,92
north,ana,sh,one,t1_5,macro,macro,4,96
north,ana,sh,one,t1_5,non-reef,non-reef,76,24
north,ana,sh,one,t1_5,plob,plob,0,100
north,ana,sh,one,t1_5,poci,poci,0,100
north,ana,sh,one,t1_5,turf,turf,12,88
north,ana,sh,one,t1_6,abiotic,abiotic,0,100
north,ana,sh,one,t1_6,biotic,biotic,0,100
north,ana,sh,one,t1_6,macro,macro,7,93
north,ana,sh,one,t1_6,non-reef,non-reef,2,98
north,ana,sh,one,t1_6,plob,plob,90,10
north,ana,sh,one,t1_6,poci,poci,0,100
north,ana,sh,one,t1_6,turf,turf,1,99
north,ana,sh,one,t1_7,abiotic,abiotic,0,100
north,ana,sh,one,t1_7,biotic,biotic,0,100
north,ana,sh,one,t1_7,macro,macro,1,99
north,ana,sh,one,t1_7,non-reef,non-reef,5,95
north,ana,sh,one,t1_7,plob,plob,94,6
north,ana,sh,one,t1_7,poci,poci,0,100
north,ana,sh,one,t1_7,turf,turf,0,100
north,ana,sh,one,t1_8,abiotic,abiotic,0,100
north,ana,sh,one,t1_8,biotic,biotic,0,100
north,ana,sh,one,t1_8,macro,macro,0,100
north,ana,sh,one,t1_8,non-reef,non-reef,1,99
north,ana,sh,one,t1_8,plob,plob,87,13
north,ana,sh,one,t1_8,poci,poci,0,100
north,ana,sh,one,t1_8,turf,turf,12,88
north,ana,sh,one,t1_9,abiotic,abiotic,0,100
north,ana,sh,one,t1_9,biotic,biotic,0,100
north,ana,sh,one,t1_9,macro,macro,12,88
north,ana,sh,one,t1_9,non-reef,non-reef,2,98
north,ana,sh,one,t1_9,plob,plob,71,29
north,ana,sh,one,t1_9,poci,poci,0,100
north,ana,sh,one,t1_9,turf,turf,15,85
north,ana,sh,two,t2_1,abiotic,abiotic,0,100
north,ana,sh,two,t2_1,biotic,biotic,0,100
north,ana,sh,two,t2_1,macro,macro,7,93
north,ana,sh,two,t2_1,non-reef,non-reef,6,94
north,ana,sh,two,t2_1,plob,plob,66,34
north,ana,sh,two,t2_1,poci,poci,1,99
north,ana,sh,two,t2_1,turf,turf,20,80
north,ana,sh,two,t2_10,abiotic,abiotic,0,100
north,ana,sh,two,t2_10,biotic,biotic,0,100
north,ana,sh,two,t2_10,macro,macro,1,99
north,ana,sh,two,t2_10,non-reef,non-reef,2,98
north,ana,sh,two,t2_10,plob,plob,89,11
north,ana,sh,two,t2_10,poci,poci,0,100
north,ana,sh,two,t2_10,turf,turf,8,92
north,ana,sh,two,t2_11,abiotic,abiotic,5,95
north,ana,sh,two,t2_11,biotic,biotic,0,100
north,ana,sh,two,t2_11,macro,macro,6,94
north,ana,sh,two,t2_11,non-reef,non-reef,4,96
north,ana,sh,two,t2_11,plob,plob,84,16
north,ana,sh,two,t2_11,poci,poci,0,100
north,ana,sh,two,t2_11,turf,turf,1,99
north,ana,sh,two,t2_12,abiotic,abiotic,0,100
north,ana,sh,two,t2_12,biotic,biotic,0,100
north,ana,sh,two,t2_12,macro,macro,13,87
north,ana,sh,two,t2_12,non-reef,non-reef,3,97
north,ana,sh,two,t2_12,plob,plob,56,44
north,ana,sh,two,t2_12,poci,poci,0,100
north,ana,sh,two,t2_12,turf,turf,28,72
north,ana,sh,two,t2_13,abiotic,abiotic,0,100
north,ana,sh,two,t2_13,biotic,biotic,0,100
north,ana,sh,two,t2_13,macro,macro,8,92
north,ana,sh,two,t2_13,non-reef,non-reef,13,87
north,ana,sh,two,t2_13,plob,plob,72,28
north,ana,sh,two,t2_13,poci,poci,1,99
north,ana,sh,two,t2_13,turf,turf,6,94
north,ana,sh,two,t2_14,abiotic,abiotic,0,100
north,ana,sh,two,t2_14,biotic,biotic,0,100
north,ana,sh,two,t2_14,macro,macro,11,89
north,ana,sh,two,t2_14,non-reef,non-reef,78,22
north,ana,sh,two,t2_14,plob,plob,0,100
north,ana,sh,two,t2_14,poci,poci,0,100
north,ana,sh,two,t2_14,turf,turf,11,89
north,ana,sh,two,t2_15,abiotic,abiotic,1,99
north,ana,sh,two,t2_15,biotic,biotic,12,88
north,ana,sh,two,t2_15,macro,macro,6,94
north,ana,sh,two,t2_15,non-reef,non-reef,69,31
north,ana,sh,two,t2_15,plob,plob,3,97
north,ana,sh,two,t2_15,poci,poci,9,91
north,ana,sh,two,t2_15,turf,turf,0,100
north,ana,sh,two,t2_2,abiotic,abiotic,4,96
north,ana,sh,two,t2_2,biotic,biotic,0,100
north,ana,sh,two,t2_2,macro,macro,0,100
north,ana,sh,two,t2_2,non-reef,non-reef,7,93
north,ana,sh,two,t2_2,plob,plob,85,15
north,ana,sh,two,t2_2,poci,poci,0,100
north,ana,sh,two,t2_2,turf,turf,4,96
north,ana,sh,two,t2_3,abiotic,abiotic,0,100
north,ana,sh,two,t2_3,biotic,biotic,0,100
north,ana,sh,two,t2_3,macro,macro,19,81
north,ana,sh,two,t2_3,non-reef,non-reef,3,97
north,ana,sh,two,t2_3,plob,plob,75,25
north,ana,sh,two,t2_3,poci,poci,0,100
north,ana,sh,two,t2_3,turf,turf,3,97
north,ana,sh,two,t2_4,abiotic,abiotic,0,0
north,ana,sh,two,t2_4,biotic,biotic,0,0
north,ana,sh,two,t2_4,macro,macro,3,97
north,ana,sh,two,t2_4,non-reef,non-reef,5,95
north,ana,sh,two,t2_4,plob,plob,82,18
north,ana,sh,two,t2_4,poci,poci,0,0
north,ana,sh,two,t2_4,turf,turf,10,90
north,ana,sh,two,t2_5,abiotic,abiotic,0,0
north,ana,sh,two,t2_5,biotic,biotic,0,0
north,ana,sh,two,t2_5,macro,macro,9,91
north,ana,sh,two,t2_5,non-reef,non-reef,2,98
north,ana,sh,two,t2_5,plob,plob,89,11
north,ana,sh,two,t2_5,poci,poci,0,0
north,ana,sh,two,t2_5,turf,turf,0,0
north,ana,sh,two,t2_5,abiotic,abiotic,0,0
north,ana,sh,two,t2_6,biotic,biotic,0,0
north,ana,sh,two,t2_6,macro,macro,6,94
north,ana,sh,two,t2_6,non-reef,non-reef,4,96
north,ana,sh,two,t2_6,plob,plob,89,11
north,ana,sh,two,t2_6,poci,poci,0,0
north,ana,sh,two,t2_6,turf,turf,1,99
north,ana,sh,two,t2_7,abiotic,abiotic,5,95
north,ana,sh,two,t2_7,biotic,biotic,0,0
north,ana,sh,two,t2_7,macro,macro,0,0
north,ana,sh,two,t2_7,non-reef,non-reef,2,98
north,ana,sh,two,t2_7,plob,plob,93,7
north,ana,sh,two,t2_7,poci,poci,0,0
north,ana,sh,two,t2_7,turf,turf,0,0
north,ana,sh,two,t2_8,abiotic,abiotic,1,99
north,ana,sh,two,t2_8,biotic,biotic,0,100
north,ana,sh,two,t2_8,macro,macro,2,98
north,ana,sh,two,t2_8,non-reef,non-reef,5,95
north,ana,sh,two,t2_8,plob,plob,89,11
north,ana,sh,two,t2_8,poci,poci,0,100
north,ana,sh,two,t2_8,turf,turf,3,97
north,ana,sh,two,t2_9,abiotic,abiotic,0,100
north,ana,sh,two,t2_9,biotic,biotic,0,100
north,ana,sh,two,t2_9,macro,macro,8,92
north,ana,sh,two,t2_9,non-reef,non-reef,3,97
north,ana,sh,two,t2_9,plob,plob,88,12
north,ana,sh,two,t2_9,poci,poci,0,100
north,ana,sh,two,t2_9,turf,turf,1,99
north,ana,sh,three,t3_1,abiotic,abiotic,0,100
north,ana,sh,three,t3_1,biotic,biotic,0,100
north,ana,sh,three,t3_1,macro,macro,1,99
north,ana,sh,three,t3_1,non-reef,non-reef,9,91
north,ana,sh,three,t3_1,plob,plob,90,10
north,ana,sh,three,t3_1,poci,poci,0,100
north,ana,sh,three,t3_1,turf,turf,0,100
north,ana,sh,three,t3_10,abiotic,abiotic,0,100
north,ana,sh,three,t3_10,biotic,biotic,0,100
north,ana,sh,three,t3_10,macro,macro,8,92
north,ana,sh,three,t3_10,non-reef,non-reef,6,94
north,ana,sh,three,t3_10,plob,plob,49,51
north,ana,sh,three,t3_10,poci,poci,1,99
north,ana,sh,three,t3_10,turf,turf,36,64
north,ana,sh,three,t3_11,abiotic,abiotic,0,100
north,ana,sh,three,t3_11,biotic,biotic,0,100
north,ana,sh,three,t3_11,macro,macro,12,88
north,ana,sh,three,t3_11,non-reef,non-reef,7,93
north,ana,sh,three,t3_11,plob,plob,25,75
north,ana,sh,three,t3_11,poci,poci,1,99
north,ana,sh,three,t3_11,turf,turf,55,45
north,ana,sh,three,t3_12,abiotic,abiotic,0,100
north,ana,sh,three,t3_12,biotic,biotic,0,100
north,ana,sh,three,t3_12,macro,macro,13,87
north,ana,sh,three,t3_12,non-reef,non-reef,4,96
north,ana,sh,three,t3_12,plob,plob,75,25
north,ana,sh,three,t3_12,poci,poci,0,100
north,ana,sh,three,t3_12,turf,turf,8,92
north,ana,sh,three,t3_13,abiotic,abiotic,0,100
north,ana,sh,three,t3_13,biotic,biotic,0,100
north,ana,sh,three,t3_13,macro,macro,6,94
north,ana,sh,three,t3_13,non-reef,non-reef,2,98
north,ana,sh,three,t3_13,plob,plob,73,27
north,ana,sh,three,t3_13,poci,poci,0,100
north,ana,sh,three,t3_13,turf,turf,19,81
north,ana,sh,three,t3_14,abiotic,abiotic,0,100
north,ana,sh,three,t3_14,biotic,biotic,0,100
north,ana,sh,three,t3_14,macro,macro,6,94
north,ana,sh,three,t3_14,non-reef,non-reef,3,97
north,ana,sh,three,t3_14,plob,plob,86,14
north,ana,sh,three,t3_14,poci,poci,0,100
north,ana,sh,three,t3_14,turf,turf,5,95
north,ana,sh,three,t3_15,abiotic,abiotic,0,100
north,ana,sh,three,t3_15,biotic,biotic,0,100
north,ana,sh,three,t3_15,macro,macro,6,94
north,ana,sh,three,t3_15,non-reef,non-reef,9,91
north,ana,sh,three,t3_15,plob,plob,81,19
north,ana,sh,three,t3_15,poci,poci,0,100
north,ana,sh,three,t3_15,turf,turf,4,96
north,ana,sh,three,t3_2,abiotic,abiotic,0,100
north,ana,sh,three,t3_2,biotic,biotic,0,100
north,ana,sh,three,t3_2,macro,macro,2,98
north,ana,sh,three,t3_2,non-reef,non-reef,7,93
north,ana,sh,three,t3_2,plob,plob,91,9
north,ana,sh,three,t3_2,poci,poci,0,100
north,ana,sh,three,t3_2,turf,turf,0,100
north,ana,sh,three,t3_3,abiotic,abiotic,0,100
north,ana,sh,three,t3_3,biotic,biotic,0,100
north,ana,sh,three,t3_3,macro,macro,4,96
north,ana,sh,three,t3_3,non-reef,non-reef,6,94
north,ana,sh,three,t3_3,plob,plob,77,23
north,ana,sh,three,t3_3,poci,poci,0,100
north,ana,sh,three,t3_3,turf,turf,13,87
north,ana,sh,three,t3_4,abiotic,abiotic,0,0
north,ana,sh,three,t3_4,biotic,biotic,0,0
north,ana,sh,three,t3_4,macro,macro,5,95
north,ana,sh,three,t3_4,non-reef,non-reef,7,93
north,ana,sh,three,t3_4,plob,plob,77,23
north,ana,sh,three,t3_4,poci,poci,0,0
north,ana,sh,three,t3_4,turf,turf,11,89
north,ana,sh,three,t3_5,abiotic,abiotic,0,0
north,ana,sh,three,t3_5,biotic,biotic,0,0
north,ana,sh,three,t3_5,macro,macro,3,97
north,ana,sh,three,t3_5,non-reef,non-reef,5,95
north,ana,sh,three,t3_5,plob,plob,84,16
north,ana,sh,three,t3_5,poci,poci,1,99
north,ana,sh,three,t3_5,turf,turf,7,93
north,ana,sh,three,t3_6,abiotic,abiotic,0,0
north,ana,sh,three,t3_6,biotic,biotic,0,0
north,ana,sh,three,t3_6,macro,macro,1,99
north,ana,sh,three,t3_6,non-reef,non-reef,2,98
north,ana,sh,three,t3_6,plob,plob,88,12
north,ana,sh,three,t3_6,poci,poci,0,0
north,ana,sh,three,t3_6,turf,turf,9,91
north,ana,sh,three,t3_7,abiotic,abiotic,0,0
north,ana,sh,three,t3_7,biotic,biotic,1,99
north,ana,sh,three,t3_7,macro,macro,2,98
north,ana,sh,three,t3_7,non-reef,non-reef,8,92
north,ana,sh,three,t3_7,plob,plob,68,32
north,ana,sh,three,t3_7,poci,poci,3,97
north,ana,sh,three,t3_7,turf,turf,18,82
north,ana,sh,three,t3_8,abiotic,abiotic,0,0
north,ana,sh,three,t3_8,biotic,biotic,0,0
north,ana,sh,three,t3_8,macro,macro,4,96
north,ana,sh,three,t3_8,non-reef,non-reef,7,93
north,ana,sh,three,t3_8,plob,plob,51,49
north,ana,sh,three,t3_8,poci,poci,2,98
north,ana,sh,three,t3_8,turf,turf,36,64
north,ana,sh,three,t3_9,abiotic,abiotic,0,0
north,ana,sh,three,t3_9,biotic,biotic,0,0
north,ana,sh,three,t3_9,macro,macro,7,93
north,ana,sh,three,t3_9,non-reef,non-reef,8,92
north,ana,sh,three,t3_9,plob,plob,80,20
north,ana,sh,three,t3_9,poci,poci,0,0
north,ana,sh,three,t3_9,turf,turf,5,95
north,ana,sh,four,t4_1,abiotic,abiotic,0,0
north,ana,sh,four,t4_1,biotic,biotic,0,0
north,ana,sh,four,t4_1,macro,macro,6,94
north,ana,sh,four,t4_1,non-reef,non-reef,6,94
north,ana,sh,four,t4_1,plob,plob,79,21
north,ana,sh,four,t4_1,poci,poci,1,99
north,ana,sh,four,t4_1,turf,turf,8,92
north,ana,sh,four,t4_10,abiotic,abiotic,2,98
north,ana,sh,four,t4_10,biotic,biotic,0,0
north,ana,sh,four,t4_10,macro,macro,4,96
north,ana,sh,four,t4_10,non-reef,non-reef,7,93
north,ana,sh,four,t4_10,plob,plob,72,28
north,ana,sh,four,t4_10,poci,poci,0,0
north,ana,sh,four,t4_10,turf,turf,15,85
north,ana,sh,four,t4_11,abiotic,abiotic,66,34
north,ana,sh,four,t4_11,biotic,biotic,0,0
north,ana,sh,four,t4_11,macro,macro,2,98
north,ana,sh,four,t4_11,non-reef,non-reef,2,98
north,ana,sh,four,t4_11,plob,plob,23,77
north,ana,sh,four,t4_11,poci,poci,0,0
north,ana,sh,four,t4_11,turf,turf,7,93
north,ana,sh,four,t4_12,abiotic,abiotic,14,86
north,ana,sh,four,t4_12,biotic,biotic,0,0
north,ana,sh,four,t4_12,macro,macro,7,93
north,ana,sh,four,t4_12,non-reef,non-reef,7,93
north,ana,sh,four,t4_12,plob,plob,43,57
north,ana,sh,four,t4_12,poci,poci,0,0
north,ana,sh,four,t4_12,turf,turf,29,71
north,ana,sh,four,t4_13,abiotic,abiotic,11,89
north,ana,sh,four,t4_13,biotic,biotic,0,0
north,ana,sh,four,t4_13,macro,macro,4,96
north,ana,sh,four,t4_13,non-reef,non-reef,4,96
north,ana,sh,four,t4_13,plob,plob,64,36
north,ana,sh,four,t4_13,poci,poci,0,0
north,ana,sh,four,t4_13,turf,turf,17,83
north,ana,sh,four,t4_14,abiotic,abiotic,3,97
north,ana,sh,four,t4_14,biotic,biotic,0,0
north,ana,sh,four,t4_14,macro,macro,3,97
north,ana,sh,four,t4_14,non-reef,non-reef,3,97
north,ana,sh,four,t4_14,plob,plob,84,16
north,ana,sh,four,t4_14,poci,poci,0,0
north,ana,sh,four,t4_14,turf,turf,7,93
north,ana,sh,four,t4_15,abiotic,abiotic,0,0
north,ana,sh,four,t4_15,biotic,biotic,0,0
north,ana,sh,four,t4_15,macro,macro,6,94
north,ana,sh,four,t4_15,non-reef,non-reef,9,91
north,ana,sh,four,t4_15,plob,plob,81,19
north,ana,sh,four,t4_15,poci,poci,0,0
north,ana,sh,four,t4_15,turf,turf,4,96
north,ana,sh,four,t4_2,abiotic,abiotic,16,84
north,ana,sh,four,t4_2,biotic,biotic,0,0
north,ana,sh,four,t4_2,macro,macro,1,99
north,ana,sh,four,t4_2,non-reef,non-reef,3,97
north,ana,sh,four,t4_2,plob,plob,75,25
north,ana,sh,four,t4_2,poci,poci,5,95
north,ana,sh,four,t4_2,turf,turf,0,0
north,ana,sh,four,t4_3,abiotic,abiotic,12,88
north,ana,sh,four,t4_3,biotic,biotic,0,0
north,ana,sh,four,t4_3,macro,macro,1,99
north,ana,sh,four,t4_3,non-reef,non-reef,8,92
north,ana,sh,four,t4_3,plob,plob,73,27
north,ana,sh,four,t4_3,poci,poci,3,97
north,ana,sh,four,t4_3,turf,turf,3,97
north,ana,sh,four,t4_4,abiotic,abiotic,0,0
north,ana,sh,four,t4_4,biotic,biotic,0,0
north,ana,sh,four,t4_4,macro,macro,0,0
north,ana,sh,four,t4_4,non-reef,non-reef,5,95
north,ana,sh,four,t4_4,plob,plob,88,12
north,ana,sh,four,t4_4,poci,poci,4,96
north,ana,sh,four,t4_4,turf,turf,3,97
north,ana,sh,four,t4_5,abiotic,abiotic,0,0
north,ana,sh,four,t4_5,biotic,biotic,0,0
north,ana,sh,four,t4_5,macro,macro,4,96
north,ana,sh,four,t4_5,non-reef,non-reef,8,92
north,ana,sh,four,t4_5,plob,plob,83,17
north,ana,sh,four,t4_5,poci,poci,0,0
north,ana,sh,four,t4_5,turf,turf,5,95
north,ana,sh,four,t4_6,abiotic,abiotic,0,0
north,ana,sh,four,t4_6,biotic,biotic,0,0
north,ana,sh,four,t4_6,macro,macro,2,98
north,ana,sh,four,t4_6,non-reef,non-reef,2,98
north,ana,sh,four,t4_6,plob,plob,92,8
north,ana,sh,four,t4_6,poci,poci,0,0
north,ana,sh,four,t4_6,turf,turf,4,96
north,ana,sh,four,t4_7,abiotic,abiotic,0,0
north,ana,sh,four,t4_7,biotic,biotic,0,0
north,ana,sh,four,t4_7,macro,macro,4,96
north,ana,sh,four,t4_7,non-reef,non-reef,6,94
north,ana,sh,four,t4_7,plob,plob,86,14
north,ana,sh,four,t4_7,poci,poci,0,0
north,ana,sh,four,t4_7,turf,turf,4,96
north,ana,sh,four,t4_8,abiotic,abiotic,0,0
north,ana,sh,four,t4_8,biotic,biotic,0,0
north,ana,sh,four,t4_8,macro,macro,11,89
north,ana,sh,four,t4_8,non-reef,non-reef,7,93
north,ana,sh,four,t4_8,plob,plob,74,26
north,ana,sh,four,t4_8,poci,poci,0,0
north,ana,sh,four,t4_8,turf,turf,8,92
north,ana,sh,four,t4_9,abiotic,abiotic,0,0
north,ana,sh,four,t4_9,biotic,biotic,0,0
north,ana,sh,four,t4_9,macro,macro,10,90
north,ana,sh,four,t4_9,non-reef,non-reef,6,94
north,ana,sh,four,t4_9,plob,plob,79,21
north,ana,sh,four,t4_9,poci,poci,1,99
north,ana,sh,four,t4_9,turf,turf,4,96
