point,transect,x,y,z
1,A,0.5249,-23.5082,-9.0654
2,A,0.5229,-23.4984,-9.0577
3,A,0.5209,-23.4886,-8.9589
4,A,0.5189,-23.4788,-8.8941
5,A,0.5168,-23.4690,-8.8852
6,A,0.5148,-23.4592,-8.8868
7,A,0.5128,-23.4494,-8.9543
8,A,0.5108,-23.4396,-9.0433
9,A,0.5088,-23.4298,-9.0361
10,A,0.5068,-23.4200,-8.9787
11,A,0.5048,-23.4102,-8.8593
12,A,0.5027,-23.4004,-8.8787
13,A,0.5007,-23.3905,-8.8762
14,A,0.4987,-23.3807,-8.8778
15,A,0.4967,-23.3709,-8.8807
16,A,0.4947,-23.3611,-8.8890
17,A,0.4927,-23.3513,-9.0375
18,A,0.4906,-23.3415,-8.8548
19,A,0.4886,-23.3317,-8.8476
20,A,0.4866,-23.3219,-8.8476
21,A,0.4846,-23.3121,-8.8485
22,A,0.4826,-23.3023,-9.0021
23,A,0.4806,-23.2925,0.0000
24,A,0.4785,-23.2827,-8.8394
25,A,0.4765,-23.2729,-8.8434
26,A,0.4745,-23.2631,-8.8576
27,A,0.4725,-23.2533,-8.8785
28,A,0.4705,-23.2435,-8.8816
29,A,0.4685,-23.2337,-8.9077
30,A,0.4664,-23.2239,-8.9228
31,A,0.4644,-23.2141,-8.8440
32,A,0.4624,-23.2043,-8.8356
33,A,0.4604,-23.1944,-8.8350
34,A,0.4584,-23.1846,-8.8368
35,A,0.4564,-23.1748,-8.8428
36,A,0.4544,-23.1650,-8.8482
37,A,0.4523,-23.1552,-8.8520
38,A,0.4503,-23.1454,-8.8567
39,A,0.4483,-23.1356,-8.8260
40,A,0.4463,-23.1258,-8.8236
41,A,0.4443,-23.1160,-8.8236
42,A,0.4423,-23.1062,-8.8099
43,A,0.4402,-23.0964,-8.8028
44,A,0.4382,-23.0866,-8.8005
45,A,0.4362,-23.0768,-8.8000
46,A,0.4342,-23.0670,-8.8005
47,A,0.4322,-23.0572,-8.8132
48,A,0.4302,-23.0474,-8.8178
49,A,0.4281,-23.0376,-8.8344
50,A,0.4261,-23.0278,-8.8363
51,A,0.4241,-23.0180,-8.8063
52,A,0.4221,-23.0082,-8.8024
53,A,0.4201,-22.9983,-8.8058
54,A,0.4181,-22.9885,-8.8426
55,A,0.4161,-22.9787,-8.8697
56,A,0.4140,-22.9689,-8.8680
57,A,0.4120,-22.9591,-8.8585
58,A,0.4100,-22.9493,-8.8454
59,A,0.4080,-22.9395,-8.8479
60,A,0.4060,-22.9297,-8.8381
61,A,0.4040,-22.9199,-8.8294
62,A,0.4019,-22.9101,-8.8202
63,A,0.3999,-22.9003,-8.8176
64,A,0.3979,-22.8905,-8.8176
65,A,0.3959,-22.8807,-8.8188
66,A,0.3939,-22.8709,-8.8239
67,A,0.3919,-22.8611,-8.8268
68,A,0.3898,-22.8513,-8.9429
69,A,0.3878,-22.8415,-8.9348
70,A,0.3858,-22.8317,-8.9348
71,A,0.3838,-22.8219,-8.9359
72,A,0.3818,-22.8121,-8.9781
73,A,0.3798,-22.8022,-9.0215
74,A,0.3778,-22.7924,-9.0115
75,A,0.3757,-22.7826,-9.0026
76,A,0.3737,-22.7728,-8.9926
77,A,0.3717,-22.7630,-9.0085
78,A,0.3697,-22.7532,-9.0130
79,A,0.3677,-22.7434,-9.0208
80,A,0.3657,-22.7336,-9.1926
81,A,0.3636,-22.7238,-9.1681
82,A,0.3616,-22.7140,-9.1624
83,A,0.3596,-22.7042,-9.1639
84,A,0.3576,-22.6944,-9.1695
85,A,0.3556,-22.6846,-9.1878
86,A,0.3536,-22.6748,-9.2515
87,A,0.3515,-22.6650,-9.2463
88,A,0.3495,-22.6552,-9.2560
89,A,0.3475,-22.6454,-9.2673
90,A,0.3455,-22.6356,-9.3259
91,A,0.3435,-22.6258,-9.3174
92,A,0.3415,-22.6160,-9.3174
93,A,0.3395,-22.6062,-9.3193
94,A,0.3374,-22.5963,-9.3155
95,A,0.3354,-22.5865,-9.3144
96,A,0.3334,-22.5767,-9.3144
97,A,0.3314,-22.5669,-9.3386
98,A,0.3294,-22.5571,-9.3360
99,A,0.3274,-22.5473,-9.3450
100,A,0.3253,-22.5375,-9.4125
101,A,0.3233,-22.5277,-9.5816
102,A,0.3213,-22.5179,-9.5823
103,A,0.3193,-22.5081,-9.5765
104,A,0.3173,-22.4983,-9.5776
105,A,0.3153,-22.4885,-9.6033
106,A,0.3132,-22.4787,-9.6312
107,A,0.3112,-22.4689,-9.6402
108,A,0.3092,-22.4591,-9.6552
109,A,0.3072,-22.4493,-9.6603
110,A,0.3052,-22.4395,-9.6457
111,A,0.3032,-22.4297,-9.6456
112,A,0.3012,-22.4199,-9.6456
113,A,0.2991,-22.4101,-9.6480
114,A,0.2971,-22.4002,-9.6701
115,A,0.2951,-22.3904,-9.6870
116,A,0.2931,-22.3806,-9.6799
117,A,0.2911,-22.3708,-9.6750
118,A,0.2891,-22.3610,-9.6738
119,A,0.2870,-22.3512,-9.6757
120,A,0.2850,-22.3414,-9.6790
121,A,0.2830,-22.3316,-9.6790
122,A,0.2810,-22.3218,-9.6830
123,A,0.2790,-22.3120,-9.6771
124,A,0.2770,-22.3022,-9.6708
125,A,0.2749,-22.2924,-9.6618
126,A,0.2729,-22.2826,-9.6582
127,A,0.2709,-22.2728,-9.6586
128,A,0.2689,-22.2630,-9.6591
129,A,0.2669,-22.2532,-9.6578
130,A,0.2649,-22.2434,-9.6587
131,A,0.2628,-22.2336,-9.6587
132,A,0.2608,-22.2238,-9.6578
133,A,0.2588,-22.2140,-9.6509
134,A,0.2568,-22.2041,-9.6486
135,A,0.2548,-22.1943,-9.6534
136,A,0.2528,-22.1845,-9.6530
137,A,0.2508,-22.1747,-9.6405
138,A,0.2487,-22.1649,-9.6218
139,A,0.2467,-22.1551,-9.6104
140,A,0.2447,-22.1453,-9.6072
141,A,0.2427,-22.1355,-9.6024
142,A,0.2407,-22.1257,-9.6001
143,A,0.2387,-22.1159,-9.6012
144,A,0.2366,-22.1061,-9.5995
145,A,0.2346,-22.0963,-9.5993
146,A,0.2326,-22.0865,-9.6015
147,A,0.2306,-22.0767,-9.6065
148,A,0.2286,-22.0669,-9.6137
149,A,0.2266,-22.0571,-9.6126
150,A,0.2245,-22.0473,-9.6118
151,A,0.2225,-22.0375,-9.6120
152,A,0.2205,-22.0277,-9.6122
153,A,0.2185,-22.0179,-9.6123
154,A,0.2165,-22.0081,-9.6141
155,A,0.2145,-21.9982,-9.6152
156,A,0.2125,-21.9884,-9.6084
157,A,0.2104,-21.9786,-9.5989
158,A,0.2084,-21.9688,-9.5989
159,A,0.2064,-21.9590,-9.5996
160,A,0.2044,-21.9492,-9.5985
161,A,0.2024,-21.9394,-9.5963
162,A,0.2004,-21.9296,-9.5963
163,A,0.1983,-21.9198,-9.5965
164,A,0.1963,-21.9100,-9.5967
165,A,0.1943,-21.9002,-9.5978
166,A,0.1923,-21.8904,-9.6011
167,A,0.1903,-21.8806,-9.6137
168,A,0.1883,-21.8708,-9.6310
169,A,0.1862,-21.8610,-9.6260
170,A,0.1842,-21.8512,-9.6178
171,A,0.1822,-21.8414,-9.6135
172,A,0.1802,-21.8316,-9.6110
173,A,0.1782,-21.8218,-9.6106
174,A,0.1762,-21.8120,-9.6102
175,A,0.1742,-21.8021,-9.6088
176,A,0.1721,-21.7923,-9.6027
177,A,0.1701,-21.7825,-9.5983
178,A,0.1681,-21.7727,-9.5959
179,A,0.1661,-21.7629,-9.5925
180,A,0.1641,-21.7531,-9.5915
181,A,0.1621,-21.7433,-9.5921
182,A,0.1600,-21.7335,-9.5929
183,A,0.1580,-21.7237,-9.5957
184,A,0.1560,-21.7139,-9.6006
185,A,0.1540,-21.7041,-9.6049
186,A,0.1520,-21.6943,-9.6036
187,A,0.1500,-21.6845,-9.5984
188,A,0.1479,-21.6747,-9.5920
189,A,0.1459,-21.6649,-9.5885
190,A,0.1439,-21.6551,-9.5878
191,A,0.1419,-21.6453,-9.5881
192,A,0.1399,-21.6355,-9.5847
193,A,0.1379,-21.6257,-9.5840
194,A,0.1359,-21.6159,-9.5840
195,A,0.1338,-21.6060,-9.5864
196,A,0.1318,-21.5962,-9.5864
197,A,0.1298,-21.5864,-9.5856
198,A,0.1278,-21.5766,-9.5874
199,A,0.1258,-21.5668,-9.5901
200,A,0.1238,-21.5570,-9.5863
201,A,0.1217,-21.5472,-9.5819
202,A,0.1197,-21.5374,-9.5798
203,A,0.1177,-21.5276,-9.5814
204,A,0.1157,-21.5178,-9.5833
205,A,0.1137,-21.5080,-9.5833
206,A,0.1117,-21.4982,-9.5839
207,A,0.1096,-21.4884,-9.5821
208,A,0.1076,-21.4786,-9.5815
209,A,0.1056,-21.4688,-9.5818
210,A,0.1036,-21.4590,-9.5784
211,A,0.1016,-21.4492,-9.5742
212,A,0.0996,-21.4394,-9.5742
213,A,0.0975,-21.4296,-9.5738
214,A,0.0955,-21.4198,-9.5736
215,A,0.0935,-21.4099,-9.5742
216,A,0.0915,-21.4001,-9.5774
217,A,0.0895,-21.3903,-9.5690
218,A,0.0875,-21.3805,-9.5637
219,A,0.0855,-21.3707,-9.5471
220,A,0.0834,-21.3609,-9.5368
221,A,0.0814,-21.3511,-9.5362
222,A,0.0794,-21.3413,-9.5376
223,A,0.0774,-21.3315,-9.5388
224,A,0.0754,-21.3217,-9.5455
225,A,0.0734,-21.3119,-9.5391
226,A,0.0713,-21.3021,-9.5305
227,A,0.0693,-21.2923,-9.5305
228,A,0.0673,-21.2825,-9.5883
229,A,0.0653,-21.2727,-9.5938
230,A,0.0633,-21.2629,-9.5821
231,A,0.0613,-21.2531,-9.5330
232,A,0.0592,-21.2433,-9.5294
233,A,0.0572,-21.2335,-9.5306
234,A,0.0552,-21.2237,-9.5354
235,A,0.0532,-21.2139,-9.5562
236,A,0.0512,-21.2040,-9.5347
237,A,0.0492,-21.1942,-9.5263
238,A,0.0472,-21.1844,-9.5263
239,A,0.0451,-21.1746,-9.5297
240,A,0.0431,-21.1648,-9.5664
241,A,0.0411,-21.1550,-9.5871
242,A,0.0391,-21.1452,-9.5878
243,A,0.0371,-21.1354,-9.5928
244,A,0.0351,-21.1256,-9.5960
245,A,0.0330,-21.1158,-9.6079
246,A,0.0310,-21.1060,-9.6172
247,A,0.0290,-21.0962,-9.6125
248,A,0.0270,-21.0864,-9.5545
249,A,0.0250,-21.0766,-9.5521
250,A,0.0230,-21.0668,-9.5525
251,A,0.0209,-21.0570,-9.5484
252,A,0.0189,-21.0472,-9.5428
253,A,0.0169,-21.0374,-9.5299
254,A,0.0149,-21.0276,-9.5158
255,A,0.0129,-21.0178,-9.5118
256,A,0.0109,-21.0079,-9.5113
257,A,0.0089,-20.9981,-9.5092
258,A,0.0068,-20.9883,-9.5087
259,A,0.0048,-20.9785,-9.5053
260,A,0.0028,-20.9687,-9.4924
261,A,0.0008,-20.9589,-9.4852
262,A,-0.0012,-20.9491,-9.4624
263,A,-0.0032,-20.9393,-9.4674
264,A,-0.0053,-20.9295,-9.4643
265,A,-0.0073,-20.9197,-9.4652
266,A,-0.0093,-20.9099,-9.4666
267,A,-0.0113,-20.9001,-9.3461
268,A,-0.0133,-20.8903,-9.3440
269,A,-0.0153,-20.8805,-9.3403
270,A,-0.0174,-20.8707,-9.3374
271,A,-0.0194,-20.8609,-9.3377
272,A,-0.0214,-20.8511,-9.3411
273,A,-0.0234,-20.8413,-9.3605
274,A,-0.0254,-20.8315,-9.3546
275,A,-0.0274,-20.8217,-9.3526
276,A,-0.0294,-20.8118,-9.3526
277,A,-0.0315,-20.8020,-9.3549
278,A,-0.0335,-20.7922,-9.3666
279,A,-0.0355,-20.7824,-9.3708
280,A,-0.0375,-20.7726,-9.3631
281,A,-0.0395,-20.7628,-9.3609
282,A,-0.0415,-20.7530,-9.3672
283,A,-0.0436,-20.7432,-9.4146
284,A,-0.0456,-20.7334,-9.4184
285,A,-0.0476,-20.7236,-9.4198
286,A,-0.0496,-20.7138,-9.4257
287,A,-0.0516,-20.7040,-9.4688
288,A,-0.0536,-20.6942,-9.4696
289,A,-0.0557,-20.6844,-9.4711
290,A,-0.0577,-20.6746,-9.4849
291,A,-0.0597,-20.6648,-9.5207
292,A,-0.0617,-20.6550,-9.5306
293,A,-0.0637,-20.6452,-9.5357
294,A,-0.0657,-20.6354,-9.5479
295,A,-0.0677,-20.6256,-9.5558
296,A,-0.0698,-20.6158,-9.5760
297,A,-0.0718,-20.6059,-9.5792
298,A,-0.0738,-20.5961,-9.5871
299,A,-0.0758,-20.5863,-9.9723
300,A,-0.0778,-20.5765,-9.5700
301,A,-0.0798,-20.5667,-9.5733
302,A,-0.0819,-20.5569,-9.9328
303,A,-0.0839,-20.5471,-9.9129
304,A,-0.0859,-20.5373,-9.8994
305,A,-0.0879,-20.5275,-9.8994
306,A,-0.0899,-20.5177,-9.9015
307,A,-0.0919,-20.5079,-9.9037
308,A,-0.0940,-20.4981,-9.9056
309,A,-0.0960,-20.4883,-9.9122
310,A,-0.0980,-20.4785,-9.9282
311,A,-0.1000,-20.4687,-9.9887
312,A,-0.1020,-20.4589,-9.9948
313,A,-0.1040,-20.4491,-9.9955
314,A,-0.1061,-20.4393,-9.9872
315,A,-0.1081,-20.4295,-9.9802
316,A,-0.1101,-20.4197,-9.9801
317,A,-0.1121,-20.4098,-9.9791
318,A,-0.1141,-20.4000,-9.9781
319,A,-0.1161,-20.3902,-9.9742
320,A,-0.1181,-20.3804,-9.9736
321,A,-0.1202,-20.3706,-9.9724
322,A,-0.1222,-20.3608,-9.9724
323,A,-0.1242,-20.3510,-9.9727
324,A,-0.1262,-20.3412,-9.9752
325,A,-0.1282,-20.3314,-9.9788
326,A,-0.1302,-20.3216,-9.9844
327,A,-0.1323,-20.3118,-9.9850
328,A,-0.1343,-20.3020,-9.9833
329,A,-0.1363,-20.2922,-9.9736
330,A,-0.1383,-20.2824,-9.9531
331,A,-0.1403,-20.2726,-9.9479
332,A,-0.1423,-20.2628,-9.9464
333,A,-0.1444,-20.2530,-9.9445
334,A,-0.1464,-20.2432,-9.9429
335,A,-0.1484,-20.2334,-9.9377
336,A,-0.1504,-20.2236,-9.9330
337,A,-0.1524,-20.2137,-9.9304
338,A,-0.1544,-20.2039,-9.9291
339,A,-0.1564,-20.1941,-9.9139
340,A,-0.1585,-20.1843,-9.8984
341,A,-0.1605,-20.1745,-9.8779
342,A,-0.1625,-20.1647,-9.8367
343,A,-0.1645,-20.1549,-9.8239
344,A,-0.1665,-20.1451,-9.8181
345,A,-0.1685,-20.1353,-9.8123
346,A,-0.1706,-20.1255,-9.8123
347,A,-0.1726,-20.1157,-9.8098
348,A,-0.1746,-20.1059,-9.8001
349,A,-0.1766,-20.0961,-9.7909
350,A,-0.1786,-20.0863,-9.7870
351,A,-0.1806,-20.0765,-9.7848
352,A,-0.1827,-20.0667,-9.7821
353,A,-0.1847,-20.0569,-9.7828
354,A,-0.1867,-20.0471,-9.7808
355,A,-0.1887,-20.0373,-9.7747
356,A,-0.1907,-20.0275,-9.7747
357,A,-0.1927,-20.0176,-9.7750
358,A,-0.1947,-20.0078,-9.7788
359,A,-0.1968,-19.9980,-9.7766
360,A,-0.1988,-19.9882,-9.7769
361,A,-0.2008,-19.9784,-9.7860
362,A,-0.2028,-19.9686,-9.7906
363,A,-0.2048,-19.9588,-9.7906
364,A,-0.2068,-19.9490,-9.7961
365,A,-0.2089,-19.9392,-9.8055
366,A,-0.2109,-19.9294,-9.8410
367,A,-0.2129,-19.9196,-9.8896
368,A,-0.2149,-19.9098,-10.0334
369,A,-0.2169,-19.9000,-10.0457
370,A,-0.2189,-19.8902,-10.0525
371,A,-0.2210,-19.8804,-10.0614
372,A,-0.2230,-19.8706,-10.0655
373,A,-0.2250,-19.8608,-10.0686
374,A,-0.2270,-19.8510,-10.0706
375,A,-0.2290,-19.8412,-10.0754
376,A,-0.2310,-19.8314,-10.0777
377,A,-0.2330,-19.8216,-10.0849
378,A,-0.2351,-19.8117,-10.0919
379,A,-0.2371,-19.8019,-10.1020
380,A,-0.2391,-19.7921,-10.0969
381,A,-0.2411,-19.7823,-10.0966
382,A,-0.2431,-19.7725,-10.0793
383,A,-0.2451,-19.7627,-10.0646
384,A,-0.2472,-19.7529,-10.0343
385,A,-0.2492,-19.7431,-10.0234
386,A,-0.2512,-19.7333,-9.9901
387,A,-0.2532,-19.7235,-9.9562
388,A,-0.2552,-19.7137,-9.9500
389,A,-0.2572,-19.7039,-9.9457
390,A,-0.2593,-19.6941,-9.9450
391,A,-0.2613,-19.6843,-9.9427
392,A,-0.2633,-19.6745,-9.9430
393,A,-0.2653,-19.6647,-9.9441
394,A,-0.2673,-19.6549,-9.9526
395,A,-0.2693,-19.6451,-9.9636
396,A,-0.2713,-19.6353,-9.4991
397,A,-0.2734,-19.6255,-9.4982
398,A,-0.2754,-19.6156,-9.5006
399,A,-0.2774,-19.6058,-9.7093
400,A,-0.2794,-19.5960,-9.6978
401,A,-0.2814,-19.5862,-9.5711
402,A,-0.2834,-19.5764,-9.3586
403,A,-0.2855,-19.5666,-9.3355
404,A,-0.2875,-19.5568,-9.3281
405,A,-0.2895,-19.5470,-9.3247
406,A,-0.2915,-19.5372,-9.3204
407,A,-0.2935,-19.5274,-9.3226
408,A,-0.2955,-19.5176,-9.3270
409,A,-0.2976,-19.5078,-9.3361
410,A,-0.2996,-19.4980,-9.3254
411,A,-0.3016,-19.4882,-9.3257
412,A,-0.3036,-19.4784,-9.3436
413,A,-0.3056,-19.4686,-9.2216
414,A,-0.3076,-19.4588,-9.2056
415,A,-0.3097,-19.4490,-9.2056
416,A,-0.3117,-19.4392,-9.2025
417,A,-0.3137,-19.4294,-9.2052
418,A,-0.3157,-19.4195,-9.2168
419,A,-0.3177,-19.4097,-9.2084
420,A,-0.3197,-19.3999,-9.1904
421,A,-0.3217,-19.3901,-9.1904
422,A,-0.3238,-19.3803,-9.1940
423,A,-0.3258,-19.3705,-9.2096
424,A,-0.3278,-19.3607,-9.2334
425,A,-0.3298,-19.3509,-9.2555
426,A,-0.3318,-19.3411,-9.3876
427,A,-0.3338,-19.3313,-9.6056
428,A,-0.3359,-19.3215,-9.7262
429,A,-0.3379,-19.3117,-9.7184
430,A,-0.3399,-19.3019,-9.7148
431,A,-0.3419,-19.2921,0.0000
432,A,-0.3439,-19.2823,-9.5073
433,A,-0.3459,-19.2725,-9.5044
434,A,-0.3480,-19.2627,-9.5023
435,A,-0.3500,-19.2529,-9.5039
436,A,-0.3520,-19.2431,-9.5170
437,A,-0.3540,-19.2333,-9.5342
438,A,-0.3560,-19.2234,-9.5343
439,A,-0.3580,-19.2136,-9.5343
440,A,-0.3600,-19.2038,-9.5533
441,A,-0.3621,-19.1940,0.0000
442,A,-0.3641,-19.1842,0.0000
443,A,-0.3661,-19.1744,0.0000
444,A,-0.3681,-19.1646,0.0000
445,A,-0.3701,-19.1548,-9.2971
446,A,-0.3721,-19.1450,-9.2795
447,A,-0.3742,-19.1352,-9.2712
448,A,-0.3762,-19.1254,-9.2688
449,A,-0.3782,-19.1156,-9.2695
450,A,-0.3802,-19.1058,-9.2810
451,A,-0.3822,-19.0960,-9.2790
452,A,-0.3842,-19.0862,-9.2838
453,A,-0.3863,-19.0764,-9.2909
454,A,-0.3883,-19.0666,-9.3081
455,A,-0.3903,-19.0568,-9.3106
456,A,-0.3923,-19.0470,-9.2078
457,A,-0.3943,-19.0372,-9.2027
458,A,-0.3963,-19.0274,-9.2007
459,A,-0.3983,-19.0175,-9.2004
460,A,-0.4004,-19.0077,-9.2008
461,A,-0.4024,-18.9979,-9.0540
462,A,-0.4044,-18.9881,-9.0509
463,A,-0.4064,-18.9783,-9.0493
464,A,-0.4084,-18.9685,-9.0435
465,A,-0.4104,-18.9587,-9.0449
466,A,-0.4125,-18.9489,-9.0486
467,A,-0.4145,-18.9391,-9.0504
468,A,-0.4165,-18.9293,-9.0545
469,A,-0.4185,-18.9195,-9.0474
470,A,-0.4205,-18.9097,-9.0167
471,A,-0.4225,-18.8999,-9.0138
472,A,-0.4246,-18.8901,-9.0060
473,A,-0.4266,-18.8803,-8.9846
474,A,-0.4286,-18.8705,-8.9831
475,A,-0.4306,-18.8607,-8.9821
476,A,-0.4326,-18.8509,-8.9821
477,A,-0.4346,-18.8411,-8.9821
478,A,-0.4366,-18.8313,-8.9786
479,A,-0.4387,-18.8214,-8.9786
480,A,-0.4407,-18.8116,-8.9809
481,A,-0.4427,-18.8018,-8.9784
482,A,-0.4447,-18.7920,-8.9898
483,A,-0.4467,-18.7822,-8.9898
484,A,-0.4487,-18.7724,-8.9824
485,A,-0.4508,-18.7626,-8.9768
486,A,-0.4528,-18.7528,-8.9768
487,A,-0.4548,-18.7430,-8.9842
488,A,-0.4568,-18.7332,-8.9925
489,A,-0.4588,-18.7234,-8.9862
490,A,-0.4608,-18.7136,-8.9864
491,A,-0.4629,-18.7038,-8.9749
492,A,-0.4649,-18.6940,-8.9703
493,A,-0.4669,-18.6842,-8.9724
494,A,-0.4689,-18.6744,-8.9721
495,A,-0.4709,-18.6646,-8.9888
496,A,-0.4729,-18.6548,-8.9969
497,A,-0.4749,-18.6450,-8.9775
498,A,-0.4770,-18.6352,-8.9766
499,A,-0.4790,-18.6253,-8.9760
500,A,-0.4810,-18.6155,-8.9773
501,A,-0.4830,-18.6057,-8.9774
502,A,-0.4850,-18.5959,-8.9787
