location,depth,transect,group,,total_count,total_points,,,,location,depth,transect,group,,total_count,total_points,
north,dp,one,BARE,,0,126,,BARE,,north,dp,one,BARE,,0,126,"DC, ROCK"
north,dp,one,CCA,,0,126,,CCA,,north,dp,one,CCA,,0,126,
north,dp,one,DC,,0,126,,DC,,,,,,,,,
north,dp,one,FIL,,0,126,,FIL,,,,,,,,,
north,dp,one,MA,,5,126,,MA,,north,dp,one,MA,,5,126,
north,dp,one,PLOB,,104,126,,PLOB,,north,dp,one,PLOB,,104,126,
north,dp,one,POCI,,7,126,,POCI,,north,dp,one,POCI,,7,126,
north,dp,one,ROCK,,0,126,,ROCK,,,,,,,,,
north,dp,one,SAND,,10,126,,SAND,,north,dp,one,SAND,,10,126,
north,dp,one,SPONGE,,0,126,,SPONGE,,north,dp,one,SPONGE,,0,126,
north,dp,one,TURF,,0,126,,TURF,,north,dp,one,TURF,,0,126,FIL
,,,,,,,,,,,,,,,,,
north,dp,two,BARE,,0,126,,BARE,,north,dp,two,BARE,,0,126,"DC, ROCK"
north,dp,two,CCA,,0,126,,CCA,,north,dp,two,CCA,,0,126,
north,dp,two,DC,,0,126,,DC,,,,,,,,,
north,dp,two,FIL,,0,126,,FIL,,,,,,,,,
north,dp,two,MA,,7,126,,MA,,north,dp,two,MA,,7,126,
north,dp,two,PLOB,,113,126,,PLOB,,north,dp,two,PLOB,,113,126,
north,dp,two,POCI,,2,126,,POCI,,north,dp,two,POCI,,2,126,
north,dp,two,ROCK,,0,126,,ROCK,,,,,,,,,
north,dp,two,SAND,,1,126,,SAND,,north,dp,two,SAND,,1,126,
north,dp,two,SPONGE,,0,126,,SPONGE,,north,dp,two,SPONGE,,0,126,
north,dp,two,TURF,,3,126,,TURF,,north,dp,two,TURF,,3,126,FIL
,,,,,,,,,,,,,,,,,
north,sh,one,BARE,,0,126,,BARE,,north,sh,one,BARE,,8,126,"DC, ROCK"
north,sh,one,CCA,,0,126,,CCA,,north,sh,one,CCA,,0,126,
north,sh,one,DC,,8,126,,DC,,,,,,,,,
north,sh,one,FIL,,0,126,,FIL,,,,,,,,,
north,sh,one,MA,,6,126,,MA,,north,sh,one,MA,,6,126,
north,sh,one,PLOB,,83,126,,PLOB,,north,sh,one,PLOB,,83,126,
north,sh,one,POCI,,0,126,,POCI,,north,sh,one,POCI,,0,126,
north,sh,one,ROCK,,0,126,,ROCK,,,,,,,,,
north,sh,one,SAND,,24,126,,SAND,,north,sh,one,SAND,,24,126,
north,sh,one,SPONGE,,0,126,,SPONGE,,north,sh,one,SPONGE,,0,126,
north,sh,one,TURF,,5,126,,TURF,,north,sh,one,TURF,,5,126,FIL
,,,,,,,,,,,,,,,,,
north,sh,two,BARE,,6,126,,BARE,,north,sh,two,BARE,,10,126,"DC, ROCK"
north,sh,two,CCA,,0,126,,CCA,,north,sh,two,CCA,,0,126,
north,sh,two,DC,,3,126,,DC,,,,,,,,,
north,sh,two,FIL,,0,126,,FIL,,,,,,,,,
north,sh,two,MA,,3,126,,MA,,north,sh,two,MA,,3,126,
north,sh,two,PLOB,,88,126,,PLOB,,north,sh,two,PLOB,,88,126,
north,sh,two,POCI,,1,126,,POCI,,north,sh,two,POCI,,1,126,
north,sh,two,ROCK,,1,126,,ROCK,,,,,,,,,
north,sh,two,SAND,,23,126,,SAND,,north,sh,two,SAND,,23,126,
north,sh,two,SPONGE,,0,126,,SPONGE,,north,sh,two,SPONGE,,0,126,
north,sh,two,TURF,,1,126,,TURF,,north,sh,two,TURF,,1,126,FIL
,,,,,,,,,,,,,,,,,
se,dp,one,BARE,,0,124,,BARE,,se,dp,one,BARE,,33,124,"DC, ROCK"
se,dp,one,CCA,,0,124,,CCA,,se,dp,one,CCA,,0,124,
se,dp,one,DC,,1,124,,DC,,,,,,,,,
se,dp,one,FIL,,0,124,,FIL,,,,,,,,,
se,dp,one,MA,,0,124,,MA,,se,dp,one,MA,,0,124,
se,dp,one,PLOB,,34,124,,PLOB,,se,dp,one,PLOB,,34,124,
se,dp,one,POCI,,57,124,,POCI,,se,dp,one,POCI,,57,124,
se,dp,one,ROCK,,32,124,,ROCK,,,,,,,,,
se,dp,one,SAND,,0,124,,SAND,,se,dp,one,SAND,,0,124,
se,dp,one,SPONGE,,0,124,,SPONGE,,se,dp,one,SPONGE,,0,124,
se,dp,one,TURF,,0,124,,TURF,,se,dp,one,TURF,,0,124,FIL
,,,,,,,,,,,,,,,,,
se,dp,two,BARE,,0,105,,BARE,,se,dp,two,BARE,,13,105,"DC, ROCK"
se,dp,two,CCA,,6,105,,CCA,,se,dp,two,CCA,,6,105,
se,dp,two,DC,,3,105,,DC,,,,,,,,,
se,dp,two,FIL,,0,105,,FIL,,,,,,,,,
se,dp,two,MA,,0,105,,MA,,se,dp,two,MA,,0,105,
se,dp,two,PLOB,,28,105,,PLOB,,se,dp,two,PLOB,,28,105,
se,dp,two,POCI,,58,105,,POCI,,se,dp,two,POCI,,58,105,
se,dp,two,ROCK,,10,105,,ROCK,,,,,,,,,
se,dp,two,SAND,,0,105,,SAND,,se,dp,two,SAND,,0,105,
se,dp,two,SPONGE,,0,105,,SPONGE,,se,dp,two,SPONGE,,0,105,
se,dp,two,TURF,,0,105,,TURF,,se,dp,two,TURF,,0,105,FIL
,,,,,,,,,,,,,,,,,
se,sh,one,BARE,,9,126,,BARE,,se,sh,one,BARE,,9,126,"DC, ROCK"
se,sh,one,CCA,,4,126,,CCA,,se,sh,one,CCA,,4,126,
se,sh,one,DC,,0,126,,DC,,,,,,,,,
se,sh,one,FIL,,3,126,,FIL,,,,,,,,,
se,sh,one,MA,,0,126,,MA,,se,sh,one,MA,,0,126,
se,sh,one,PLOB,,35,126,,PLOB,,se,sh,one,PLOB,,35,126,
se,sh,one,POCI,,75,126,,POCI,,se,sh,one,POCI,,75,126,
se,sh,one,ROCK,,0,126,,ROCK,,,,,,,,,
se,sh,one,SAND,,0,126,,SAND,,se,sh,one,SAND,,0,126,
se,sh,one,SPONGE,,0,126,,SPONGE,,se,sh,one,SPONGE,,0,126,
se,sh,one,TURF,,0,126,,TURF,,se,sh,one,TURF,,3,126,FIL
,,,,,,,,,,,,,,,,,
se,sh,two,BARE,,45,126,,BARE,,,,,,,,,
se,sh,two,CCA,,5,126,,CCA,,,,,,,,,
,,,,,,,,DC,,,,,,,,,
,,,,,,,,FIL,,,,,,,,,
se,sh,two,MA,,1,126,,MA,,,,,,,,,
se,sh,two,PLOB,,15,126,,PLOB,,,,,,,,,
se,sh,two,POCI,,60,126,,POCI,,,,,,,,,
,,,,,,,,ROCK,,,,,,,,,
,,,,,,,,SAND,,,,,,,,,
,,,,,,,,SPONGE,,,,,,,,,
,,,,,,,,TURF,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,BARE,,,,,,,,,
,,,,,,,,CCA,,,,,,,,,
,,,,,,,,DC,,,,,,,,,
,,,,,,,,FIL,,,,,,,,,
west,dp,one,MA,,10,126,,MA,,,,,,,,,
west,dp,one,PLOB,,89,126,,PLOB,,,,,,,,,
west,dp,one,POCI,,13,126,,POCI,,,,,,,,,
west,dp,one,POCI ,,1,126,,ROCK,,,,,,,,,
west,dp,one,SAND,,10,126,,SAND,,,,,,,,,
,,,,,,,,SPONGE,,,,,,,,,
west,dp,one,TURF,,3,126,,TURF,,,,,,,,,
,,,,,,,,,,,,,,,,,
west,dp,two,BARE,,4,126,,BARE,,,,,,,,,
west,dp,two,CCA,,,,,CCA,,,,,,,,,
west,dp,two,DC,,,,,DC,,,,,,,,,
west,dp,two,FIL,,,,,FIL,,,,,,,,,
west,dp,two,MA,,,,,MA,,,,,,,,,
west,dp,two,PLOB,,73,126,,PLOB,,,,,,,,,
west,dp,two,POCI,,14,126,,POCI,,,,,,,,,
west,dp,two,ROCK,,,,,ROCK,,,,,,,,,
west,dp,two,SAND,,31,126,,SAND,,,,,,,,,
west,dp,two,SPONGE,,,,,SPONGE,,,,,,,,,
west,dp,two,TURF,,4,126,,TURF,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,BARE,,,,,BARE,,,,,,,,,
,,,CCA,,,,,CCA,,,,,,,,,
,,,DC,,,,,DC,,,,,,,,,
,,,FIL,,,,,FIL,,,,,,,,,
west,sh,one,MA,,5,126,,MA,,,,,,,,,
west,sh,one,PLOB,,74,126,,PLOB,,,,,,,,,
west,sh,one,POCI,,15,126,,POCI,,,,,,,,,
,,,ROCK,,,,,ROCK,,,,,,,,,
west,sh,one,SAND,,14,126,,SAND,,,,,,,,,
west,sh,one,SPONGE,,9,126,,SPONGE,,,,,,,,,
west,sh,one,TURF,,9,126,,TURF,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,BARE,,,,,BARE,,,,,,,,,
,,,CCA,,,,,CCA,,,,,,,,,
,,,DC,,,,,DC,,,,,,,,,
,,,FIL,,,,,FIL,,,,,,,,,
west,sh,two,MA,,1,126,,MA,,,,,,,,,
west,sh,two,PLOB,,101,126,,PLOB,,,,,,,,,
west,sh,two,POCI,,18,126,,POCI,,,,,,,,,
,,,ROCK,,,,,ROCK,,,,,,,,,
west,sh,two,SAND,,4,126,,SAND,,,,,,,,,
,,,SPONGE,,,,,SPONGE,,,,,,,,,
west,sh,two,TURF,,2,126,,TURF,,,,,,,,,
