location,depth,transect,photo,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11,pt12,pt13,pt14,pt15,pt16,pt17,pt18,pt19,pt20,pt21,pt22,pt23,pt24,pt25,pt26,pt27,pt28,pt29,pt30,pt31,pt32,pt33,pt34,pt35,pt36,pt37,pt38,pt39,pt40,pt41,pt42,pt43,pt44,pt45,pt46,pt47,pt48,pt49,pt50,pt51,pt52,pt53,pt54,pt55,pt56,pt57,pt58,pt59,pt60,pt61,pt62,pt63,pt64,pt65,pt66,pt67,pt68,pt69,pt70,pt71,pt72,pt73,pt74,pt75,pt76,pt77,pt78,pt79,pt80,pt81,pt82,pt83,pt84,pt85,pt86,pt87,pt88,pt89,pt90,pt91,pt92,pt93,pt94,pt95,pt96,pt97,pt98,pt99,pt100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_1,PVER,PVER,PVER,PVER,PVER,CALC,PLOB,PLOB,PVER,PVER,UNK,EAM,O,PVER,PVER,PLOB,UNK,PVER,PLOB,PVER,PVER,UNK,PVER,CALC,PLOB,PVER,SPR,PLOB,PLOB,PLOB,CALC,PLOB,PLOB,PVER,PVER,PVER,CALC,PLOB,PLOB,CALC,SPR,PVER,PVER,PVER,PVER,PVER,O,PLOB,PLOB,CALC,PVER,PVER,PVER,PVER,PLOB,PLOB,O,PLOB,CALC,CALC,PVER,TAPE,PVER,PVER,PVER,O,PLOB,PLOB,CALC,CALC,TAPE,TAPE,EAM,EAM,EAM,PLOB,PLOB,PLOB,PLOB,O,EAM,EAM,PVER,EAM,EAM,SPR,PLOB,PLOB,PLOB,PLOB,PVER,SPR,SPR,SPR,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_2,EAM,PVER,PVER,PVER,SPR,SPR,PLOB,PLOB,PLOB,PVER,PVER,PVER,PVER,PVER,CALC,CALC,CALC,PVER,PLOB,PVER,O,O,PLOB,CALC,CALC,CALC,PLOB,PVER,PVER,PLOB,PLOB,EAM,PLOB,PVER,CALC,CALC,PLOB,PVER,PVER,PLOB,EAM,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,EAM,O,O,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,CALC,BASA,PLOB,BASA,CALC,BASA,BASA,BASA,BASA,PVER,CALC,BASA,BASA,BASA,BASA,BASA,BASA,BASA,BASA,BASA,SHAD,BASA,CALC,CALC,CALC,BASA,CCA,BASA,BASA,CCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_3,PVER,PVER,PVER,PVER,SHAD,SHAD,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,EAM,EAM,PVER,PVER,PVER,PVER,SHAD,PVER,PVER,CALC,EAM,PLOB,PLOB,PVER,EAM,EAM,SHAD,PVER,PVER,CALC,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,EAM,EAM,EAM,PLOB,PLOB,PLOB,EAM,PVER,PVER,PVER,PLOB,PVER,EAM,EAM,EAM,EAM,EAM,EAM,PVER,O,PVER,PVER,PVER,PVER,PVER,EAM,EAM,EAM,PLOB,EAM,PVER,PVER,PVER,PVER,EAM,EAM,EAM,BASA,O,EAM,PLOB,PVER,PVER,PVER,PLOB,CALC,PLOB,CCA,CCA,EAM,EAM,PLOB,PLOB,PLOB,PLOB,O,PLOB,EAM,WAND,CALC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_4,EAM,PLOB,EAM,SHAD,SHAD,EAM,EAM,EAM,EAM,CALC,PLOB,EAM,EAM,EAM,PLOB,EAM,EAM,PVER,PVER,PVER,EAM,EAM,EAM,EAM,PVER,PVER,PVER,PVER,PVER,PVER,EAM,EAM,EAM,EAM,PVER,PVER,PVER,EAM,PLOB,EAM,PLOB,PLOB,EAM,PVER,PLOB,PVER,PVER,EAM,PLOB,EAM,EAM,EAM,PVER,PVER,PVER,PVER,PVER,EAM,PLOB,CALC,EAM,PVER,PVER,PVER,PVER,EAM,PLOB,O,PLOB,BASA,CALC,CALC,PVER,PVER,O,PLOB,EAM,PLOB,PLOB,PVER,PVER,TAPE,PVER,CALC,PVER,PVER,EAM,EAM,PVER,PVER,PVER,PVER,UNK,PLOB,PVER,PVER,PLOB,PVER,PVER,PVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_5,PVER,PVER,PVER,EAM,O,PVER,PVER,PVER,PVER,PVER,EAM,EAM,PVER,EAM,UNK,UNK,PVER,PVER,PVER,PVER,EAM,EAM,EAM,EAM,CALC,EAM,EAM,PVER,PVER,PVER,PLOB,PLOB,PLOB,CALC,CALC,PLOB,PVER,PVER,PVER,PVER,PVER,O,EAM,EAM,PVER,PVER,PVER,PLOB,PLOB,O,PVER,EAM,EAM,PVER,PVER,PVER,PVER,PVER,PLOB,CALC,BASA,CCA,CCA,EAM,EAM,EAM,TAPE,O,PVER,CALC,PVER,PVER,PVER,PVER,BASA,BASA,O,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,CALC,PVER,PVER,PVER,EAM,PVER,PVER,EAM,BASA,PLOB,PLOB,PVER,PVER,PVER,PVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_6,PVER,EAM,PVER,PVER,PVER,PVER,PVER,EAM,EAM,EAM,PVER,PVER,EAM,PVER,PVER,PVER,PVER,PVER,O,O,PVER,PVER,PVER,BASA,PVER,PVER,PVER,PVER,O,PVER,PVER,PVER,PVER,BASA,UNK,CCA,CCA,EAM,PVER,PVER,BASA,EAM,EAM,EAM,EAM,EAM,PVER,PVER,PVER,PVER,PLOB,EAM,EAM,BASA,EAM,HALI,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PLOB,PLOB,PVER,TAPE,PVER,EAM,PVER,PVER,PLOB,PVER,PLOB,PVER,PVER,PVER,EAM,EAM,PLOB,PLOB,PVER,PVER,PLOB,EAM,PLOB,EAM,EAM,EAM,PVER,PVER,PVER,PVER,O,O,EAM,PLOB,PLOB,EAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_7,EAM,PLOB,PVER,PVER,PVER,PVER,PVER,EAM,EAM,EAM,EAM,UNK,PVER,PVER,SHAD,PVER,EAM,EAM,EAM,PVER,EAM,EAM,PLOB,EAM,SHAD,EAM,BASA,EAM,PVER,PVER,PVER,PVER,EAM,EAM,CALC,EAM,EAM,PVER,PVER,PVER,PVER,PVER,BASA,BASA,EAM,PVER,PVER,PVER,PVER,PVER,PVER,EAM,CALC,EAM,PVER,PVER,PVER,PVER,PLOB,PVER,EAM,TAPE,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PVER,PLOB,PVER,PVER,PVER,PLOB,EAM,PVER,PLOB,EAM,PLOB,PLOB,PVER,PVER,PVER,PVER,PVER,PVER,EAM,O,EAM,CALC,EAM,PVER,PVER,PVER,PVER,EAM,EAM,PVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_8,PVER,PVER,PVER,PVER,BASA,BASA,SHAD,BASA,O,PVER,CALC,CALC,PVER,PVER,BASA,SHAD,PVER,PVER,PVER,PVER,EAM,EAM,EAM,BASA,BASA,BASA,PVER,PVER,PVER,PVER,PVER,PVER,BASA,BASA,CCA,CCA,BASA,O,WAND,PVER,PVER,PVER,EAM,EAM,EAM,EAM,EAM,EAM,PVER,PVER,PVER,PVER,EAM,PVER,PVER,EAM,EAM,PVER,PVER,EAM,PVER,PLOB,PVER,PVER,PLOB,EAM,PLOB,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PLOB,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,TURF,PLOB,CALC,PLOB,UNK,PVER,PVER,PVER,UNK,UNK,EAM,PVER,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_9,EAM,EAM,EAM,PVER,PVER,PVER,PVER,EAM,CALC,UNK,EAM,EAM,SHAD,SPR,SPR,PVER,PVER,PVER,EAM,PVER,PVER,CALC,CALC,SHAD,PVER,PLOB,EAM,PVER,PVER,PVER,PVER,SHAD,SHAD,EAM,PLOB,PVER,PLOB,PVER,PVER,PVER,PVER,PVER,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PVER,PVER,EAM,PVER,PVER,EAM,PLOB,PVER,PVER,PVER,PLOB,EAM,PVER,PVER,PVER,PVER,TAPE,PVER,PVER,PVER,PLOB,SPR,PVER,PVER,PVER,PVER,PVER,EAM,EAM,PVER,PVER,EAM,SPR,UNK,UNK,PVER,PVER,O,EAM,PVER,PVER,EAM,PVER,O,PVER,PVER,PLOB,PLOB,PLOB,EAM,PVER,PVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_10,PVER,UNK,CALC,CALC,CALC,SHAD,UNK,UNK,EAM,EAM,PVER,PVER,SPR,PVER,PVER,PVER,PVER,EAM,EAM,UNK,SHAD,EAM,UNK,PVER,PVER,PVER,PVER,PVER,EAM,EAM,EAM,EAM,EAM,EAM,EAM,CYANO,PVER,EAM,EAM,EAM,EAM,EAM,EAM,EAM,EAM,EAM,O,EAM,EAM,EAM,PVER,PLOB,PLOB,PLOB,CYANO,UNK,CALC,EAM,EAM,EAM,PVER,PLOB,PLOB,PLOB,PLOB,CALC,TAPE,EAM,TAPE,BASA,EAM,EAM,PLOB,PLOB,PVER,PVER,PVER,PVER,EAM,EAM,BASA,EAM,EAM,PLOB,PVER,PLOB,PLOB,EAM,EAM,EAM,EAM,EAM,PVER,BASA,BASA,BASA,PLOB,EAM,EAM,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_11,SHAD,PVER,SHAD,PVER,PVER,PVER,EAM,PVER,PVER,PVER,PVER,UNK,EAM,EAM,EAM,EAM,EAM,PVER,PVER,PVER,PVER,EAM,PVER,PVER,CALC,EAM,EAM,PLOB,PVER,EAM,EAM,BASA,PVER,PVER,SHAD,CALC,CALC,EAM,CCA,PVER,BASA,BASA,BASA,BASA,CALC,BASA,BASA,BASA,CALC,PLOB,EAM,BASA,BASA,BASA,BASA,BASA,CALC,BASA,PLOB,O,BASA,PLOB,PLOB,O,O,EAM,EAM,EAM,O,O,O,PLOB,PVER,PVER,BASA,EAM,BASA,BASA,CALC,CALC,EAM,EAM,EAM,PVER,PVER,EAM,EAM,EAM,PLOB,EAM,PVER,PVER,PVER,PVER,PVER,EAM,PVER,PVER,PLOB,EAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_12,SHAD,EAM,UNK,PVER,PVER,EAM,UNK,O,O,PVER,UNK,EAM,EAM,EAM,PVER,PVER,O,UNK,CYANO,PVER,EAM,EAM,EAM,UNK,PVER,PVER,PVER,O,EAM,EAM,PVER,PVER,O,CALC,PVER,PVER,PVER,EAM,EAM,EAM,O,EAM,CALC,CALC,PVER,PVER,EAM,CALC,EAM,EAM,EAM,PVER,PVER,PVER,PVER,PVER,EAM,EAM,CALC,CALC,EAM,EAM,PLOB,PVER,TAPE,PVER,TAPE,PVER,EAM,TAPE,EAM,SPR,PLOB,PVER,PVER,PVER,PVER,PVER,UNK,EAM,UNK,O,PVER,EAM,EAM,EAM,PVER,PVER,EAM,EAM,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_13,PLOB,PLOB,PLOB,EAM,EAM,EAM,PVER,PVER,PVER,EAM,O,CALC,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,CALC,EAM,CALC,CALC,PLOB,PVER,PVER,PVER,PVER,PVER,EAM,PVER,PVER,EAM,O,O,PLOB,EAM,PVER,O,EAM,PVER,EAM,PVER,PVER,PVER,CCA,CCA,BASA,O,O,PLOB,PLOB,CCA,BASA,CCA,PVER,PVER,PVER,BASA,PLOB,PLOB,CCA,CCA,BASA,CALC,PVER,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PLOB,CALC,CALC,CALC,PVER,PVER,BASA,PLOB,PVER,PVER,CALC,CALC,PLOB,PLOB,PVER,PVER,PVER,PLOB,PLOB,PVER,PLOB,PVER,CALC,EAM,BASA,BASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_14,PVER,PVER,PVER,CALC,EAM,EAM,EAM,PLOB,PLOB,O,PVER,CALC,CALC,EAM,EAM,EAM,EAM,EAM,EAM,O,CALC,CALC,CALC,PVER,PVER,EAM,EAM,EAM,EAM,PVER,EAM,EAM,CALC,PVER,EAM,EAM,EAM,EAM,PVER,PVER,EAM,EAM,CALC,CALC,PVER,PVER,EAM,EAM,PVER,PVER,CALC,CALC,EAM,EAM,PVER,PVER,EAM,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,EAM,EAM,PLOB,PLOB,PLOB,EAM,PVER,PVER,EAM,CYANO,EAM,EAM,PLOB,PLOB,PLOB,EAM,PVER,PVER,CALC,PVER,PLOB,PLOB,PVER,SHAD,PVER,PLOB,PLOB,SHAD,O,PLOB,EAM,CALC,CALC,PVER,PVER,PVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_15,PLOB,PLOB,PLOB,O,PVER,PVER,PVER,PVER,O,EAM,PVER,EAM,EAM,EAM,PVER,PVER,PVER,CALC,O,EAM,PVER,EAM,EAM,EAM,PLOB,PLOB,EAM,CALC,O,EAM,PVER,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,EAM,EAM,O,PVER,PVER,PLOB,PLOB,EAM,PVER,PVER,PVER,O,EAM,BASA,PLOB,PLOB,PLOB,EAM,PVER,PVER,PVER,EAM,EAM,TAPE,EAM,CCA,TAPE,EAM,PVER,PVER,PVER,O,O,EAM,EAM,EAM,PLOB,PLOB,PLOB,PVER,PVER,PLOB,EAM,EAM,EAM,EAM,PLOB,PLOB,EAM,PVER,PVER,EAM,EAM,EAM,PVER,PVER,PVER,PVER,PVER,PVER,PVER,EAM,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,two,t2_1,PVER,PVER,PVER,PVER,UNK,PVER,O,EAM,O,EAM,PVER,PVER,EAM,EAM,PVER,PVER,PVER,PVER,PVER,EAM,EAM,CCA,EAM,EAM,CCA,EAM,CCA,CCA,EAM,EAM,EAM,EAM,EAM,EAM,EAM,CCA,CCA,CCA,CCA,CCA,PVER,PVER,EAM,EAM,EAM,EAM,CCA,SHAD,PVER,EAM,PVER,CCA,EAM,EAM,CCA,CCA,CCA,PVER,PVER,PVER,CCA,CCA,EAM,EAM,EAM,EAM,EAM,EAM,PVER,EAM,PVER,CCA,CCA,PVER,EAM,EAM,EAM,EAM,EAM,EAM,O,EAM,EAM,PVER,CCA,CCA,PVER,PVER,PVER,PVER,UNK,EAM,EAM,PVER,PVER,PVER,PVER,PVER,EAM,PVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,two,t2_2,EAM,TURF,PVER,PVER,EAM,EAM,TURF,PVER,PVER,PVER,EAM,PVER,EAM,EAM,EAM,PVER,CYANO,PVER,EAM,EAM,PVER,PVER,EAM,EAM,EAM,EAM,EAM,EAM,CYANO,EAM,EAM,CCA,EAM,EAM,EAM,EAM,EAM,EAM,EAM,CYANO,CALC,EAM,SHAD,EAM,O,PVER,PVER,EAM,EAM,EAM,CALC,CALC,BASA,BASA,PVER,EAM,EAM,EAM,EAM,EAM,EAM,PVER,PVER,PVER,PVER,PVER,EAM,EAM,O,EAM,EAM,EAM,EAM,PVER,PVER,PVER,PVER,EAM,PVER,O,PVER,PVER,PVER,EAM,EAM,EAM,PVER,UNK,UNK,PLOB,UNK,EAM,EAM,PVER,UNK,O,PVER,PLOB,PLOB,PVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,two,t2_3,PVER,UNK,PVER,UNK,EAM,EAM,EAM,PVER,PVER,UNK,PVER,PVER,EAM,EAM,EAM,PVER,PVER,EAM,EAM,EAM,PVER,PVER,PLOB,PVER,PLOB,PVER,PVER,EAM,EAM,EAM,EAM,EAM,PLOB,O,PVER,PVER,PLOB,UNK,EAM,EAM,EAM,UNK,EAM,EAM,CALC,UNK,PLOB,PLOB,CALC,CALC,UNK,O,EAM,CALC,BASA,PLOB,EAM,CALC,CALC,CALC,UNK,BASA,UNK,EAM,PVER,PVER,CALC,CALC,CALC,CALC,EAM,BASA,BASA,EAM,PVER,PVER,CALC,CALC,EAM,CALC,BASA,EAM,EAM,EAM,PVER,EAM,EAM,PLOB,PVER,PVER,BASA,BASA,BASA,BASA,BASA,BASA,BASA,BASA,BASA,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,two,t2_4,EAM,EAM,EAM,UNK,EAM,O,O,PVER,PVER,BASA,UNK,EAM,PVER,PVER,PVER,EAM,PVER,PVER,PVER,PVER,EAM,EAM,EAM,PVER,PVER,CCA,EAM,EAM,EAM,EAM,EAM,CCA,CCA,CCA,CCA,CCA,CCA,CCA,PVER,PVER,CCA,EAM,CCA,CCA,BASA,PVER,CCA,CYANO,PVER,PVER,BASA,BASA,CCA,CCA,PVER,PVER,PVER,PLOB,CCA,CCA,PVER,BASA,BASA,PVER,PVER,PVER,PVER,CCA,CCA,CCA,PVER,BASA,PVER,PVER,PVER,O,PVER,PVER,CCA,BASA,BASA,BASA,CCA,BASA,BASA,UNK,PLOB,PLOB,UNK,PVER,BASA,BASA,BASA,BASA,BASA,PVER,PVER,UNK,UNK,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
